Timestamp_t1	Position(x)_t1	Position(y)_t1	Position(z)_t1	Orientation(x)_t1	Orientation(y)_t1	Orientation(z)_t1	Orientation(w)_t1	Timestamp_t2	Position(x)_t2	Position(y)_t2	Position(z)_t2	Orientation(x)_t2	Orientation(y)_t2	Orientation(z)_t2	Orientation(w)_t2	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(x)	PilotRot(y)	PilotRot(z)	PilotRot(w)	Frame_id1	Frame_id2	ImageName
1580544119931	-14.9424	-5.3342	0.3952	0.707	0.0	0.0	0.707	1580544119984	-14.9424	-5.3342	0.2806	0.707	0.0	0.0	0.707	-15.012391133123582	-5.404221133123582	1.4801388668764175	0.1655974815548553	-0.06888511551691555	-0.3778466242143832	0.9083304704416258	0	1	img_PilotCamera_Segmentation_1580544119978.jpg,img_FrontCenter_Segmentation_1580544119984.jpg
1580544120564	-14.9424	-5.3342	0.1066	0.707	0.0	0.0	0.707	1580544120619	-14.9424	-5.3342	0.1207	0.707	0.0	0.0	0.707	-14.973379847834455	-5.365209847834454	1.5191501521655453	0.08026074491038843	0.16645080914602353	0.885239554338148	0.4268527525930468	2	3	img_PilotCamera_Segmentation_1580544120613.jpg,img_FrontCenter_Segmentation_1580544120619.jpg
1580544120673	-14.9424	-5.3342	0.1373	0.707	0.0	0.0	0.707	1580544120729	-14.9424	-5.3342	0.1561	0.707	0.0	0.0	0.707	-15.050116935538739	-5.44194693553874	1.4424130644612596	-0.04426901448185302	0.08264140266404599	0.8776115961361622	-0.47011545310685354	4	5	img_PilotCamera_Segmentation_1580544120724.jpg,img_FrontCenter_Segmentation_1580544120729.jpg
1580544120779	-14.9424	-5.3342	0.1757	0.707	0.0	0.0	0.707	1580544120830	-14.9424	-5.3342	0.2087	0.707	0.0	0.0	0.707	-15.04734792305596	-5.4391779230559605	1.445182076944039	0.19433151229505785	-0.02963826821229334	-0.14782871319166652	0.9692798914362084	6	7	img_PilotCamera_Segmentation_1580544120825.jpg,img_FrontCenter_Segmentation_1580544120830.jpg
1580544120880	-14.9424	-5.3342	0.2353	0.707	0.0	0.0	0.707	1580544120930	-14.9424	-5.3342	0.2715	0.707	0.0	0.0	0.707	-14.785017006287495	-5.1768470062874945	1.707512993712505	0.0746459250219766	-0.042288140664080126	-0.49109625685043884	0.8668703279869926	8	9	img_PilotCamera_Segmentation_1580544120925.jpg,img_FrontCenter_Segmentation_1580544120930.jpg
1580544120981	-14.9424	-5.3342	0.3143	0.707	0.0	0.0	0.707	1580544121031	-14.9424	-5.3342	0.3535	0.707	0.0	0.0	0.707	-15.052494919422033	-5.444324919422033	1.4400350805779667	0.030314383128027804	0.017576715121244514	0.5012898720225297	0.8645695816235669	10	11	img_PilotCamera_Segmentation_1580544121026.jpg,img_FrontCenter_Segmentation_1580544121031.jpg
1580544121082	-14.9424	-5.3342	0.4047	0.707	0.0	0.0	0.707	1580544121135	-14.9424	-5.3342	0.4752	0.707	0.0	0.0	0.707	-14.98146664800143	-5.373296648001431	1.5110633519985692	0.1752899720487418	-0.08439945623864922	-0.4255288775490386	0.8837846637375119	12	13	img_PilotCamera_Segmentation_1580544121130.jpg,img_FrontCenter_Segmentation_1580544121135.jpg
1580544121187	-14.9424	-5.3342	0.5265	0.707	0.0	0.0	0.707	1580544121239	-14.9424	-5.3342	0.5753	0.707	0.0	0.0	0.707	-14.908404348402021	-5.300234348402021	1.584125651597979	0.18972042839671543	0.05007459910883924	0.2502384821865112	0.9480925037178846	14	15	img_PilotCamera_Segmentation_1580544121233.jpg,img_FrontCenter_Segmentation_1580544121239.jpg
1580544121293	-14.9424	-5.3342	0.6308	0.707	0.0	0.0	0.707	1580544121344	-14.9424	-5.3342	0.6866	0.707	0.0	0.0	0.707	-14.790500168943808	-5.182330168943809	1.7020298310561917	0.09473712257643743	0.23416240829584106	0.8969436122110346	0.3628842799858519	16	17	img_PilotCamera_Segmentation_1580544121339.jpg,img_FrontCenter_Segmentation_1580544121344.jpg
1580544122343	-14.9424	-5.3342	2.4711	0.707	0.0	0.0	0.707	1580544122395	-14.9424	-5.3342	2.5579	0.707	0.0	0.0	0.707	-15.072388241243605	-5.464298241243603	1.4868417587563967	-0.0006101011362584512	0.9973319665569481	0.0729970839568804	-4.465474421660712e-05	18	19	img_PilotCamera_Segmentation_1580544122390.jpg,img_FrontCenter_Segmentation_1580544122395.jpg
1580544122450	-14.9424	-5.3342	2.6423	0.707	0.0	0.0	0.707	1580544122501	-14.9424	-5.3342	2.7351	0.707	0.0	0.0	0.707	-15.078037556884114	-5.4699475568841125	1.4811924431158872	0.748701462503265	-0.61483026376623	-0.15729381950342247	0.19154247870549504	20	21	img_PilotCamera_Segmentation_1580544122496.jpg,img_FrontCenter_Segmentation_1580544122501.jpg
1580544123298	-15.0464	-5.332	3.1119	0.7067878999999999	-0.0014846999999999998	-0.0017675	0.7072121	1580544123351	-15.0553	-5.3319	3.0768	0.7068586	-0.0016261	-0.0019089	0.7071413999999999	-14.826851084102273	-5.183151084102273	1.7500189158977268	0.7467042199133436	-0.6593127515045446	-0.058228443301235236	0.06594658488372572	22	23	img_PilotCamera_Segmentation_1580544123346.jpg,img_FrontCenter_Segmentation_1580544123351.jpg
1580544123512	-15.0865	-5.3312	2.9165	0.7069293	-0.0019088999999999998	-0.0020502999999999997	0.7070706999999999	1580544123564	-15.0966	-5.331	2.8528	0.7069293	-0.0019088999999999998	-0.0020502999999999997	0.7070706999999999	-15.01751617171535	-5.373816171715349	1.5593538282846506	0.9041912087501239	0.3625758479744258	0.08403257954364932	0.20956034467393025	24	25	img_PilotCamera_Segmentation_1580544123559.jpg,img_FrontCenter_Segmentation_1580544123564.jpg
1580544123618	-15.1055	-5.3308	2.7914	0.7069293	-0.0019795999999999998	-0.0021209999999999996	0.7070706999999999	1580544123675	-15.115	-5.3306	2.7212	0.7069293	-0.0020503	-0.0021917	0.7070706999999999	-15.018461329257523	-5.374761329257522	1.5584086707424774	0.9889027509085044	0.1351325001597819	0.008357628359886104	0.0611613169769658	26	27	img_PilotCamera_Segmentation_1580544123671.jpg,img_FrontCenter_Segmentation_1580544123675.jpg
1580544123723	-15.1239	-5.3304	2.6537	0.7069293	-0.002121	-0.002121	0.7070706999999999	1580544123778	-15.1362	-5.3302	2.5676	0.707	-0.0021917	-0.0021917	0.707	-14.9018453953373	-5.2581453953373	1.6750246046627002	0.6378959163406916	0.7363046525558969	0.17059225387176857	0.14779222394753858	28	29	img_PilotCamera_Segmentation_1580544123773.jpg,img_FrontCenter_Segmentation_1580544123778.jpg
1580544123828	-15.1456	-5.33	2.5068	0.707	-0.0021917	-0.0021917	0.707	1580544123880	-15.1545	-5.3298	2.4539	0.707	-0.0022624	-0.0022624	0.707	-15.030524198694295	-5.386824198694294	1.5463458013057059	0.9376458560255971	-0.2558403012140598	-0.061938217039819506	0.22700142339345084	30	31	img_PilotCamera_Segmentation_1580544123874.jpg,img_FrontCenter_Segmentation_1580544123880.jpg
1580544127409	-16.9501	-5.0933	1.9182	0.7021923999999999	-0.0825069	-0.0825069	0.7021923999999999	1580544127460	-16.9882	-5.0878	1.9259	0.7025459	-0.0792547	-0.0792547	0.7025459	-16.39388701089104	-5.543237010891039	1.4958029891089615	0.8679391713254654	0.35718600550705526	0.131336820433309	0.31914008201297256	32	33	img_PilotCamera_Segmentation_1580544127456.jpg,img_FrontCenter_Segmentation_1580544127460.jpg
1580544127514	-17.0282	-5.0819	1.9386	0.7028994	-0.07621460000000001	-0.07621460000000001	0.7028994	1580544127570	-17.0641	-5.0767	1.9489	0.7031115	-0.0737401	-0.0737401	0.7031115	-16.38106744128855	-5.530417441288551	1.5086225587114483	0.6346009629694161	0.4971363026672193	0.36490825220444706	0.465810134971055	34	35	img_PilotCamera_Segmentation_1580544127563.jpg,img_FrontCenter_Segmentation_1580544127570.jpg
1580544127619	-17.0981	-5.0717	1.9529	0.7033942999999999	-0.0716898	-0.0716898	0.7033942999999999	1580544127673	-17.1281	-5.0674	1.9517	0.7035357	-0.069993	-0.069993	0.7035357	-16.287214475184722	-5.436564475184723	1.6024755248152769	0.7046760811493591	0.49061920122981434	0.2928733381888237	0.42065380994201834	36	37	img_PilotCamera_Segmentation_1580544127667.jpg,img_FrontCenter_Segmentation_1580544127673.jpg
1580544128038	-17.377	-5.0384	1.847	0.5935972	-0.07953750000000001	-0.06115550000000001	0.7983444	1580544128092	-17.4141	-5.0396	1.8322	0.5882947	-0.08257759999999999	-0.06377139999999999	0.8016673	-18.20956913868154	-5.648699138681538	1.4305508613184617	0.6441144950318387	-0.420865340240829	-0.3493835030359061	0.5347149244973527	38	39	img_PilotCamera_Segmentation_1580544128086.jpg,img_FrontCenter_Segmentation_1580544128092.jpg
1580544131280	-18.3374	-6.1125	1.8268	0.6459152	0.3592267	0.32783589999999996	0.588224	1580544131334	-18.3437	-6.1268	1.8352	0.6374311999999999	0.36431709999999995	0.3371683	0.5890723999999999	-17.897420398379207	-5.340560398379207	1.7582496016207927	0.11401560022102664	0.772075046156129	0.618512623467688	0.09133838525159345	40	41	img_PilotCamera_Segmentation_1580544131328.jpg,img_FrontCenter_Segmentation_1580544131334.jpg
1580544131494	-18.3662	-6.1746	1.8686	0.601657	0.3567522	0.383901	0.6025054	1580544131548	-18.3727	-6.1878	1.877	0.5871635	0.3422586999999999	0.40376769999999995	0.6121912999999999	-17.892000659972044	-5.335140659972045	1.7636693400279542	-0.018424504590181037	0.59566510040065	0.8026376998148642	-0.024826369674074627	42	43	img_PilotCamera_Segmentation_1580544131542.jpg,img_FrontCenter_Segmentation_1580544131548.jpg
1580544131709	-18.3977	-6.2372	1.9003	0.5535102999999999	0.3003336	0.44442019999999993	0.6369362999999999	1580544131761	-18.4076	-6.2565	1.9097	0.546511	0.2893751	0.45184369999999996	0.6428043999999999	-17.856422766605053	-5.299562766605054	1.7992472333949454	0.03658444446002363	0.6435153489319795	0.7633258675564523	0.043395783570455586	44	45	img_PilotCamera_Segmentation_1580544131756.jpg,img_FrontCenter_Segmentation_1580544131761.jpg
1580544131811	-18.4175	-6.2758	1.9208	0.5372493	0.2755178999999999	0.46188309999999994	0.6495209	1580544131864	-18.4286	-6.2974	1.9347	0.5283411	0.26215560000000004	0.4712862	0.6556010999999999	-18.145921022060797	-5.589061022060796	1.5097489779392035	-0.06551183261412426	0.8412316747168819	0.5350711568881947	-0.04166924893609427	46	47	img_PilotCamera_Segmentation_1580544131859.jpg,img_FrontCenter_Segmentation_1580544131864.jpg
