Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580544797073	2,8794	4,8573	0,2722	1,0000	0,0000	0,0000	0,0000	2,8794	-1,0970	-0,7278	0,7634	-0,6459	0,0000	0,0000	img_PilotCamera_Segmentation_1580544797019.jpg,img_FrontCenter_Segmentation_1580544797073.jpg
1580544797223	2,8794	4,7346	0,2722	1,0000	0,0000	0,0000	0,0000	2,8794	-1,0970	-0,7278	0,7645	-0,6446	0,0000	0,0000	img_PilotCamera_Segmentation_1580544797169.jpg,img_FrontCenter_Segmentation_1580544797223.jpg
1580544797240	2,8794	4,7119	0,2722	1,0000	0,0000	0,0000	0,0000	2,8794	-1,0970	-0,7278	0,7647	-0,6443	0,0000	0,0000	img_PilotCamera_Segmentation_1580544797234.jpg,img_FrontCenter_Segmentation_1580544797240.jpg
1580544797290	2,8794	4,5834	0,2722	1,0000	0,0000	0,0000	0,0000	2,8794	-1,0970	-0,7278	0,7660	-0,6429	0,0000	0,0000	img_PilotCamera_Segmentation_1580544797284.jpg,img_FrontCenter_Segmentation_1580544797290.jpg
1580544797342	2,8794	4,5261	0,2722	1,0000	0,0000	0,0000	0,0000	2,8794	-1,0970	-0,7278	0,7665	-0,6422	0,0000	0,0000	img_PilotCamera_Segmentation_1580544797336.jpg,img_FrontCenter_Segmentation_1580544797342.jpg
1580544797391	2,8794	4,4636	0,2722	1,0000	0,0000	0,0000	0,0000	2,8794	-1,0970	-0,7278	0,7671	-0,6415	0,0000	0,0000	img_PilotCamera_Segmentation_1580544797385.jpg,img_FrontCenter_Segmentation_1580544797391.jpg
1580544797447	2,8794	4,4001	0,2722	1,0000	0,0000	0,0000	0,0000	2,8794	-1,0970	-0,7278	0,7678	-0,6407	0,0000	0,0000	img_PilotCamera_Segmentation_1580544797441.jpg,img_FrontCenter_Segmentation_1580544797447.jpg
1580544797501	2,8794	4,3278	0,2722	1,0000	0,0000	0,0000	0,0000	2,8794	-1,0970	-0,7278	0,7685	-0,6398	0,0000	0,0000	img_PilotCamera_Segmentation_1580544797495.jpg,img_FrontCenter_Segmentation_1580544797501.jpg
1580544797556	2,8794	4,2269	0,2722	1,0000	0,0000	0,0000	0,0000	2,8794	-1,0970	-0,7278	0,7696	-0,6385	0,0000	0,0000	img_PilotCamera_Segmentation_1580544797549.jpg,img_FrontCenter_Segmentation_1580544797556.jpg
1580544797606	2,8794	4,1384	0,2722	1,0000	0,0000	0,0000	0,0000	2,8794	-1,0970	-0,7278	0,7706	-0,6373	0,0000	0,0000	img_PilotCamera_Segmentation_1580544797601.jpg,img_FrontCenter_Segmentation_1580544797606.jpg
1580544797663	2,8794	4,0554	0,2722	1,0000	0,0000	0,0000	0,0000	2,8794	-1,0970	-0,7278	0,7715	-0,6362	0,0000	0,0000	img_PilotCamera_Segmentation_1580544797658.jpg,img_FrontCenter_Segmentation_1580544797663.jpg
1580544797716	2,8794	3,9571	0,2722	1,0000	0,0000	0,0000	0,0000	2,8794	-1,0970	-0,7278	0,7727	-0,6348	0,0000	0,0000	img_PilotCamera_Segmentation_1580544797712.jpg,img_FrontCenter_Segmentation_1580544797716.jpg
1580544797769	2,8794	3,8655	0,2722	1,0000	0,0000	0,0000	0,0000	2,8794	-1,0970	-0,7278	0,7738	-0,6334	0,0000	0,0000	img_PilotCamera_Segmentation_1580544797765.jpg,img_FrontCenter_Segmentation_1580544797769.jpg
1580544797818	2,8794	3,7700	0,2722	1,0000	0,0000	0,0000	0,0000	2,8794	-1,0970	-0,7278	0,7750	-0,6320	0,0000	0,0000	img_PilotCamera_Segmentation_1580544797814.jpg,img_FrontCenter_Segmentation_1580544797818.jpg
