Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580545361260	8,9594	1,6044	3,4800	1,0000	0,0000	0,0000	0,0000	8,9594	-1,0970	2,4800	0,8207	-0,5713	0,0000	0,0000	img_PilotCamera_Segmentation_1580545361202.jpg,img_FrontCenter_Segmentation_1580545361260.jpg
1580545361415	8,9594	1,4729	3,4800	1,0000	0,0000	0,0000	0,0000	8,9594	-1,0970	2,4800	0,8254	-0,5645	0,0000	0,0000	img_PilotCamera_Segmentation_1580545361355.jpg,img_FrontCenter_Segmentation_1580545361415.jpg
1580545361432	8,9594	1,4519	3,4800	1,0000	0,0000	0,0000	0,0000	8,9594	-1,0970	2,4800	0,8262	-0,5634	0,0000	0,0000	img_PilotCamera_Segmentation_1580545361425.jpg,img_FrontCenter_Segmentation_1580545361432.jpg
1580545361480	8,9594	1,3338	3,4800	1,0000	0,0000	0,0000	0,0000	8,9594	-1,0970	2,4800	0,8308	-0,5566	0,0000	0,0000	img_PilotCamera_Segmentation_1580545361474.jpg,img_FrontCenter_Segmentation_1580545361480.jpg
1580545361540	8,9594	1,2518	3,4800	1,0000	0,0000	0,0000	0,0000	8,9594	-1,0970	2,4800	0,8342	-0,5515	0,0000	0,0000	img_PilotCamera_Segmentation_1580545361533.jpg,img_FrontCenter_Segmentation_1580545361540.jpg
1580545361592	8,9594	1,1836	3,4800	1,0000	0,0000	0,0000	0,0000	8,9594	-1,0970	2,4800	0,8371	-0,5470	0,0000	0,0000	img_PilotCamera_Segmentation_1580545361587.jpg,img_FrontCenter_Segmentation_1580545361592.jpg
1580545361643	8,9594	1,1182	3,4800	1,0000	0,0000	0,0000	0,0000	8,9594	-1,0970	2,4800	0,8401	-0,5425	0,0000	0,0000	img_PilotCamera_Segmentation_1580545361638.jpg,img_FrontCenter_Segmentation_1580545361643.jpg
1580545361694	8,9594	1,0438	3,4800	1,0000	0,0000	0,0000	0,0000	8,9594	-1,0970	2,4800	0,8436	-0,5370	0,0000	0,0000	img_PilotCamera_Segmentation_1580545361689.jpg,img_FrontCenter_Segmentation_1580545361694.jpg
1580545361747	8,9594	0,9694	3,4800	1,0000	0,0000	0,0000	0,0000	8,9594	-1,0970	2,4800	0,8472	-0,5312	0,0000	0,0000	img_PilotCamera_Segmentation_1580545361742.jpg,img_FrontCenter_Segmentation_1580545361747.jpg
1580545361798	8,9594	0,8857	3,4800	1,0000	0,0000	0,0000	0,0000	8,9594	-1,0970	2,4800	0,8516	-0,5242	0,0000	0,0000	img_PilotCamera_Segmentation_1580545361792.jpg,img_FrontCenter_Segmentation_1580545361798.jpg
