Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580545946416	-1,6624	4,7707	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-1,0970	1,0458	0,7642	-0,6450	0,0000	0,0000	img_PilotCamera_Segmentation_1580545946217.jpg,img_FrontCenter_Segmentation_1580545946416.jpg
1580545946509	-1,6624	4,5159	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-1,0704	1,0458	0,7669	-0,6418	0,0000	0,0000	img_PilotCamera_Segmentation_1580545946480.jpg,img_FrontCenter_Segmentation_1580545946509.jpg
1580545946547	-1,6624	4,4501	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-1,0697	1,0458	0,7675	-0,6410	0,0000	0,0000	img_PilotCamera_Segmentation_1580545946526.jpg,img_FrontCenter_Segmentation_1580545946547.jpg
1580545946613	-1,6624	4,3923	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-1,0696	1,0458	0,7681	-0,6403	0,0000	0,0000	img_PilotCamera_Segmentation_1580545946588.jpg,img_FrontCenter_Segmentation_1580545946613.jpg
1580545946646	-1,6624	4,3177	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,8621	1,0458	0,7712	-0,6366	0,0000	0,0000	img_PilotCamera_Segmentation_1580545946629.jpg,img_FrontCenter_Segmentation_1580545946646.jpg
1580545946718	-1,6624	4,2588	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,8304	1,0458	0,7723	-0,6353	0,0000	0,0000	img_PilotCamera_Segmentation_1580545946692.jpg,img_FrontCenter_Segmentation_1580545946718.jpg
1580545946763	-1,6624	4,1547	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,7259	1,0458	0,7748	-0,6322	0,0000	0,0000	img_PilotCamera_Segmentation_1580545946741.jpg,img_FrontCenter_Segmentation_1580545946763.jpg
1580545946824	-1,6624	4,0720	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,7013	1,0458	0,7762	-0,6305	0,0000	0,0000	img_PilotCamera_Segmentation_1580545946800.jpg,img_FrontCenter_Segmentation_1580545946824.jpg
1580545946866	-1,6624	3,9900	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,5923	1,0458	0,7788	-0,6272	0,0000	0,0000	img_PilotCamera_Segmentation_1580545946843.jpg,img_FrontCenter_Segmentation_1580545946866.jpg
1580545946928	-1,6624	3,8984	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,5333	1,0458	0,7811	-0,6245	0,0000	0,0000	img_PilotCamera_Segmentation_1580545946904.jpg,img_FrontCenter_Segmentation_1580545946928.jpg
1580545946972	-1,6624	3,7964	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,5528	1,0458	0,7823	-0,6229	0,0000	0,0000	img_PilotCamera_Segmentation_1580545946950.jpg,img_FrontCenter_Segmentation_1580545946972.jpg
1580545947034	-1,6624	3,8817	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,5690	1,0458	0,7808	-0,6248	0,0000	0,0000	img_PilotCamera_Segmentation_1580545947008.jpg,img_FrontCenter_Segmentation_1580545947034.jpg
1580545947084	-1,6624	3,8817	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,5030	1,0458	0,7818	-0,6236	0,0000	0,0000	img_PilotCamera_Segmentation_1580545947060.jpg,img_FrontCenter_Segmentation_1580545947084.jpg
1580545947142	-1,6624	3,8817	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,5094	1,0458	0,7817	-0,6237	0,0000	0,0000	img_PilotCamera_Segmentation_1580545947119.jpg,img_FrontCenter_Segmentation_1580545947142.jpg
1580545947185	-1,6624	3,8817	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,5552	1,0458	0,7810	-0,6246	0,0000	0,0000	img_PilotCamera_Segmentation_1580545947162.jpg,img_FrontCenter_Segmentation_1580545947185.jpg
1580545947246	-1,6624	3,8817	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,6109	1,0458	0,7802	-0,6256	0,0000	0,0000	img_PilotCamera_Segmentation_1580545947221.jpg,img_FrontCenter_Segmentation_1580545947246.jpg
1580545947289	-1,6624	3,8817	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,6211	1,0458	0,7800	-0,6258	0,0000	0,0000	img_PilotCamera_Segmentation_1580545947264.jpg,img_FrontCenter_Segmentation_1580545947289.jpg
1580545947348	-1,6624	3,8817	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,6596	1,0458	0,7794	-0,6265	0,0000	0,0000	img_PilotCamera_Segmentation_1580545947322.jpg,img_FrontCenter_Segmentation_1580545947348.jpg
1580545947391	-1,6624	3,8817	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,6705	1,0458	0,7793	-0,6267	0,0000	0,0000	img_PilotCamera_Segmentation_1580545947369.jpg,img_FrontCenter_Segmentation_1580545947391.jpg
1580545947452	-1,6624	3,8817	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,6525	1,0458	0,7795	-0,6264	0,0000	0,0000	img_PilotCamera_Segmentation_1580545947427.jpg,img_FrontCenter_Segmentation_1580545947452.jpg
1580545947495	-1,6624	3,8817	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,5631	1,0458	0,7809	-0,6247	0,0000	0,0000	img_PilotCamera_Segmentation_1580545947474.jpg,img_FrontCenter_Segmentation_1580545947495.jpg
1580545947556	-1,6624	3,8817	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,6890	1,0458	0,7790	-0,6270	0,0000	0,0000	img_PilotCamera_Segmentation_1580545947532.jpg,img_FrontCenter_Segmentation_1580545947556.jpg
1580545947606	-1,6624	3,8817	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,6717	1,0458	0,7793	-0,6267	0,0000	0,0000	img_PilotCamera_Segmentation_1580545947582.jpg,img_FrontCenter_Segmentation_1580545947606.jpg
1580545947657	-1,6624	3,8817	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,6858	1,0458	0,7791	-0,6269	0,0000	0,0000	img_PilotCamera_Segmentation_1580545947634.jpg,img_FrontCenter_Segmentation_1580545947657.jpg
1580545947708	-1,6624	3,8817	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,5380	1,0458	0,7812	-0,6242	0,0000	0,0000	img_PilotCamera_Segmentation_1580545947686.jpg,img_FrontCenter_Segmentation_1580545947708.jpg
1580545947760	-1,6624	3,8817	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,5622	1,0458	0,7809	-0,6247	0,0000	0,0000	img_PilotCamera_Segmentation_1580545947736.jpg,img_FrontCenter_Segmentation_1580545947760.jpg
1580545947812	-1,6624	3,8817	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,6062	1,0458	0,7802	-0,6255	0,0000	0,0000	img_PilotCamera_Segmentation_1580545947788.jpg,img_FrontCenter_Segmentation_1580545947812.jpg
1580545947863	-1,6624	3,8817	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,5989	1,0458	0,7803	-0,6254	0,0000	0,0000	img_PilotCamera_Segmentation_1580545947839.jpg,img_FrontCenter_Segmentation_1580545947863.jpg
1580545947914	-1,6624	3,8817	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,5159	1,0458	0,7816	-0,6238	0,0000	0,0000	img_PilotCamera_Segmentation_1580545947889.jpg,img_FrontCenter_Segmentation_1580545947914.jpg
1580545947970	-1,6624	3,8817	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,5239	1,0458	0,7815	-0,6240	0,0000	0,0000	img_PilotCamera_Segmentation_1580545947945.jpg,img_FrontCenter_Segmentation_1580545947970.jpg
1580545948021	-1,6624	3,8817	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,4924	1,0458	0,7819	-0,6234	0,0000	0,0000	img_PilotCamera_Segmentation_1580545947996.jpg,img_FrontCenter_Segmentation_1580545948021.jpg
1580545948072	-1,6624	3,8817	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,4517	1,0458	0,7826	-0,6226	0,0000	0,0000	img_PilotCamera_Segmentation_1580545948046.jpg,img_FrontCenter_Segmentation_1580545948072.jpg
1580545948123	-1,6624	3,8817	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,4304	1,0458	0,7829	-0,6221	0,0000	0,0000	img_PilotCamera_Segmentation_1580545948098.jpg,img_FrontCenter_Segmentation_1580545948123.jpg
1580545948173	-1,6624	3,8817	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,4792	1,0458	0,7821	-0,6231	0,0000	0,0000	img_PilotCamera_Segmentation_1580545948149.jpg,img_FrontCenter_Segmentation_1580545948173.jpg
1580545948223	-1,6624	3,8817	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,5280	1,0458	0,7814	-0,6240	0,0000	0,0000	img_PilotCamera_Segmentation_1580545948198.jpg,img_FrontCenter_Segmentation_1580545948223.jpg
1580545948283	-1,6624	3,8817	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,5654	1,0458	0,7808	-0,6247	0,0000	0,0000	img_PilotCamera_Segmentation_1580545948257.jpg,img_FrontCenter_Segmentation_1580545948283.jpg
1580545948333	-1,6624	3,8817	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,5852	1,0458	0,7805	-0,6251	0,0000	0,0000	img_PilotCamera_Segmentation_1580545948307.jpg,img_FrontCenter_Segmentation_1580545948333.jpg
1580545948384	-1,6624	3,8817	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,6714	1,0458	0,7793	-0,6267	0,0000	0,0000	img_PilotCamera_Segmentation_1580545948359.jpg,img_FrontCenter_Segmentation_1580545948384.jpg
1580545948442	-1,6624	3,8825	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,6589	1,0458	0,7794	-0,6265	0,0000	0,0000	img_PilotCamera_Segmentation_1580545948419.jpg,img_FrontCenter_Segmentation_1580545948442.jpg
1580545948484	-1,6624	3,8864	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,6724	1,0458	0,7792	-0,6268	0,0000	0,0000	img_PilotCamera_Segmentation_1580545948462.jpg,img_FrontCenter_Segmentation_1580545948484.jpg
1580545948544	-1,6624	3,8956	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,6391	1,0458	0,7795	-0,6264	0,0000	0,0000	img_PilotCamera_Segmentation_1580545948520.jpg,img_FrontCenter_Segmentation_1580545948544.jpg
1580545948589	-1,6624	3,9088	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,6162	1,0458	0,7797	-0,6262	0,0000	0,0000	img_PilotCamera_Segmentation_1580545948564.jpg,img_FrontCenter_Segmentation_1580545948589.jpg
1580545948648	-1,6624	3,9262	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,5839	1,0458	0,7799	-0,6259	0,0000	0,0000	img_PilotCamera_Segmentation_1580545948624.jpg,img_FrontCenter_Segmentation_1580545948648.jpg
1580545948691	-1,6624	3,9480	2,0458	1,0000	0,0000	0,0000	0,0000	-1,6624	-0,6157	1,0458	0,7791	-0,6269	0,0000	0,0000	img_PilotCamera_Segmentation_1580545948670.jpg,img_FrontCenter_Segmentation_1580545948691.jpg
1580545948755	-1,6624	3,9714	2,0458	1,0000	0,0000	-0,0006	0,0042	-1,6620	-0,6404	1,0458	0,7784	-0,6277	-0,0001	-0,0001	img_PilotCamera_Segmentation_1580545948728.jpg,img_FrontCenter_Segmentation_1580545948755.jpg
1580545948798	-1,6624	3,9787	2,0458	1,0000	0,0000	-0,0011	0,0079	-1,6617	-0,5299	1,0458	0,7799	-0,6259	-0,0003	-0,0002	img_PilotCamera_Segmentation_1580545948774.jpg,img_FrontCenter_Segmentation_1580545948798.jpg
1580545948856	-1,6629	4,0253	2,0458	0,9985	-0,0002	-0,0088	0,0532	-1,6576	-0,5418	1,0458	0,7791	-0,6269	-0,0021	-0,0017	img_PilotCamera_Segmentation_1580545948833.jpg,img_FrontCenter_Segmentation_1580545948856.jpg
1580545948907	-1,6640	4,0502	2,0457	0,9968	-0,0003	-0,0161	0,0782	-1,6543	-0,5975	1,0458	0,7779	-0,6283	-0,0038	-0,0030	img_PilotCamera_Segmentation_1580545948884.jpg,img_FrontCenter_Segmentation_1580545948907.jpg
1580545948958	-1,6659	4,0722	2,0457	0,9950	-0,0003	-0,0244	0,0966	-1,6513	-0,5978	1,0458	0,7776	-0,6287	-0,0057	-0,0046	img_PilotCamera_Segmentation_1580545948935.jpg,img_FrontCenter_Segmentation_1580545948958.jpg
