Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581526033959	0,0941	1,5296	-8,8354	1,0000	0,0000	0,0000	0,0000	0,0941	-1,0970	-9,8354	0,8233	-0,5675	0,0000	0,0000	img_PilotCamera_Segmentation_1581526033951.jpg,img_FrontCenter_Segmentation_1581526033959.jpg
1581526034044	0,0941	1,4355	-8,8354	1,0000	0,0000	0,0000	0,0000	0,0941	-1,0970	-9,8354	0,8268	-0,5625	0,0000	0,0000	img_PilotCamera_Segmentation_1581526034018.jpg,img_FrontCenter_Segmentation_1581526034044.jpg
1581526034086	0,0941	1,3958	-8,8354	1,0000	0,0000	0,0000	0,0000	0,0941	-1,0970	-9,8354	0,8283	-0,5602	0,0000	0,0000	img_PilotCamera_Segmentation_1581526034063.jpg,img_FrontCenter_Segmentation_1581526034086.jpg
1581526034146	0,0941	1,3571	-8,8354	1,0000	0,0000	0,0000	0,0000	0,0941	-1,0970	-9,8354	0,8299	-0,5580	0,0000	0,0000	img_PilotCamera_Segmentation_1581526034119.jpg,img_FrontCenter_Segmentation_1581526034146.jpg
1581526034189	0,0941	1,3107	-8,8354	1,0000	0,0000	0,0000	0,0000	0,0941	-1,0970	-9,8354	0,8317	-0,5552	0,0000	0,0000	img_PilotCamera_Segmentation_1581526034165.jpg,img_FrontCenter_Segmentation_1581526034189.jpg
1581526034259	0,0941	1,2493	-8,8354	1,0000	0,0000	0,0000	0,0000	0,0941	-1,0970	-9,8354	0,8343	-0,5513	0,0000	0,0000	img_PilotCamera_Segmentation_1581526034231.jpg,img_FrontCenter_Segmentation_1581526034259.jpg
1581526034310	0,0941	1,1806	-8,8354	1,0000	0,0000	0,0000	0,0000	0,0941	-1,0970	-9,8354	0,8373	-0,5468	0,0000	0,0000	img_PilotCamera_Segmentation_1581526034283.jpg,img_FrontCenter_Segmentation_1581526034310.jpg
1581526034360	0,0941	1,1205	-8,8354	1,0000	0,0000	0,0000	0,0000	0,0941	-1,0970	-9,8354	0,8400	-0,5426	0,0000	0,0000	img_PilotCamera_Segmentation_1581526034334.jpg,img_FrontCenter_Segmentation_1581526034360.jpg
1581526034410	0,0941	1,0559	-8,8354	1,0000	0,0000	0,0000	0,0000	0,0941	-1,0970	-9,8354	0,8430	-0,5379	0,0000	0,0000	img_PilotCamera_Segmentation_1581526034384.jpg,img_FrontCenter_Segmentation_1581526034410.jpg
1581526034470	0,0941	0,9780	-8,8354	1,0000	0,0000	0,0000	0,0000	0,0941	-1,0970	-9,8354	0,8468	-0,5319	0,0000	0,0000	img_PilotCamera_Segmentation_1581526034443.jpg,img_FrontCenter_Segmentation_1581526034470.jpg
1581526034511	0,0941	0,9645	-8,8354	1,0000	0,0000	0,0000	0,0000	0,0941	-1,0970	-9,8354	0,8475	-0,5308	0,0000	0,0000	img_PilotCamera_Segmentation_1581526034487.jpg,img_FrontCenter_Segmentation_1581526034511.jpg
1581526034575	0,0941	0,8209	-8,8354	1,0000	0,0000	0,0000	0,0000	0,0941	-1,0970	-9,8354	0,8551	-0,5185	0,0000	0,0000	img_PilotCamera_Segmentation_1581526034544.jpg,img_FrontCenter_Segmentation_1581526034575.jpg
1581526034606	0,0941	0,8007	-8,8354	1,0000	0,0000	0,0000	0,0000	0,0941	-1,0970	-9,8354	0,8562	-0,5166	0,0000	0,0000	img_PilotCamera_Segmentation_1581526034589.jpg,img_FrontCenter_Segmentation_1581526034606.jpg
1581526034676	0,0941	0,6407	-8,8354	1,0000	0,0000	0,0000	0,0000	0,0941	-1,0970	-9,8354	0,8657	-0,5006	0,0000	0,0000	img_PilotCamera_Segmentation_1581526034648.jpg,img_FrontCenter_Segmentation_1581526034676.jpg
1581526034718	0,0941	0,5203	-8,8354	1,0000	0,0000	0,0000	0,0000	0,0941	-1,0970	-9,8354	0,8735	-0,4869	0,0000	0,0000	img_PilotCamera_Segmentation_1581526034696.jpg,img_FrontCenter_Segmentation_1581526034718.jpg
1581526034778	0,0941	0,4242	-8,8354	1,0000	0,0000	0,0000	0,0000	0,0941	-1,0970	-9,8354	0,8801	-0,4747	0,0000	0,0000	img_PilotCamera_Segmentation_1581526034752.jpg,img_FrontCenter_Segmentation_1581526034778.jpg
1581526034818	0,0941	0,3179	-8,8354	1,0000	0,0000	0,0000	0,0000	0,0941	-1,0970	-9,8354	0,8880	-0,4598	0,0000	0,0000	img_PilotCamera_Segmentation_1581526034796.jpg,img_FrontCenter_Segmentation_1581526034818.jpg
1581526034877	0,0941	0,2142	-8,8354	1,0000	0,0000	0,0000	0,0000	0,0941	-1,0970	-9,8354	0,8962	-0,4436	0,0000	0,0000	img_PilotCamera_Segmentation_1581526034850.jpg,img_FrontCenter_Segmentation_1581526034877.jpg
1581526034926	0,0941	0,0864	-8,8354	1,0000	0,0000	0,0000	0,0000	0,0941	-1,0970	-9,8354	0,9070	-0,4211	0,0000	0,0000	img_PilotCamera_Segmentation_1581526034900.jpg,img_FrontCenter_Segmentation_1581526034926.jpg
1581526034986	0,0941	-0,0249	-8,8354	1,0000	0,0000	0,0000	0,0000	0,0941	-1,0970	-9,8354	0,9171	-0,3987	0,0000	0,0000	img_PilotCamera_Segmentation_1581526034959.jpg,img_FrontCenter_Segmentation_1581526034986.jpg
1581526035027	0,0941	-0,1541	-8,8354	1,0000	0,0000	0,0000	0,0000	0,0941	-1,0970	-9,8354	0,9294	-0,3691	0,0000	0,0000	img_PilotCamera_Segmentation_1581526035006.jpg,img_FrontCenter_Segmentation_1581526035027.jpg
1581526035096	0,0941	-0,0249	-8,8354	1,0000	0,0000	0,0000	0,0000	0,0941	-1,0970	-9,8354	0,9171	-0,3987	0,0000	0,0000	img_PilotCamera_Segmentation_1581526035068.jpg,img_FrontCenter_Segmentation_1581526035096.jpg
1581526035145	0,0941	-0,0249	-8,8354	1,0000	0,0000	0,0000	0,0000	0,0941	-1,0970	-9,8354	0,9171	-0,3987	0,0000	0,0000	img_PilotCamera_Segmentation_1581526035117.jpg,img_FrontCenter_Segmentation_1581526035145.jpg
1581526035204	0,0941	-0,0249	-8,8354	1,0000	0,0000	0,0000	0,0000	0,0941	-1,0970	-9,8354	0,9171	-0,3987	0,0000	0,0000	img_PilotCamera_Segmentation_1581526035179.jpg,img_FrontCenter_Segmentation_1581526035204.jpg
1581526035246	0,0941	-0,0249	-8,8354	1,0000	0,0000	0,0000	0,0000	0,0941	-1,0970	-9,8354	0,9171	-0,3987	0,0000	0,0000	img_PilotCamera_Segmentation_1581526035222.jpg,img_FrontCenter_Segmentation_1581526035246.jpg
1581526035306	0,0941	-0,0249	-8,8354	1,0000	0,0000	0,0000	0,0000	0,0941	-1,0970	-9,8354	0,9171	-0,3987	0,0000	0,0000	img_PilotCamera_Segmentation_1581526035280.jpg,img_FrontCenter_Segmentation_1581526035306.jpg
1581526035347	0,0941	-0,0249	-8,8354	1,0000	0,0000	0,0000	0,0000	0,0941	-1,0970	-9,8354	0,9171	-0,3987	0,0000	0,0000	img_PilotCamera_Segmentation_1581526035325.jpg,img_FrontCenter_Segmentation_1581526035347.jpg
1581526035406	0,0941	-0,0249	-8,8354	1,0000	0,0000	0,0000	0,0000	0,0941	-1,0970	-9,8354	0,9171	-0,3987	0,0000	0,0000	img_PilotCamera_Segmentation_1581526035380.jpg,img_FrontCenter_Segmentation_1581526035406.jpg
1581526035457	0,0941	-0,0249	-8,8354	1,0000	0,0000	0,0000	0,0000	0,0941	-1,0970	-9,8354	0,9171	-0,3987	0,0000	0,0000	img_PilotCamera_Segmentation_1581526035429.jpg,img_FrontCenter_Segmentation_1581526035457.jpg
1581526035506	0,0941	-0,0249	-8,8354	1,0000	0,0000	0,0000	0,0000	0,0941	-1,0970	-9,8354	0,9171	-0,3987	0,0000	0,0000	img_PilotCamera_Segmentation_1581526035480.jpg,img_FrontCenter_Segmentation_1581526035506.jpg
1581526035568	0,0941	-0,0249	-8,8354	1,0000	0,0000	0,0000	0,0000	0,0941	-1,0970	-9,8354	0,9171	-0,3987	0,0000	0,0000	img_PilotCamera_Segmentation_1581526035541.jpg,img_FrontCenter_Segmentation_1581526035568.jpg
1581526035617	0,0941	-0,0249	-8,8354	1,0000	0,0000	0,0000	-0,0005	0,0941	-1,0970	-9,8354	0,9171	-0,3987	0,0000	0,0000	img_PilotCamera_Segmentation_1581526035589.jpg,img_FrontCenter_Segmentation_1581526035617.jpg
1581526035667	0,0941	-0,0244	-8,8354	0,9997	0,0000	0,0000	-0,0240	0,0941	-1,0970	-9,8354	0,9170	-0,3988	0,0000	0,0000	img_PilotCamera_Segmentation_1581526035641.jpg,img_FrontCenter_Segmentation_1581526035667.jpg
1581526035718	0,0946	-0,0208	-8,8354	0,9983	0,0000	0,0000	-0,0575	0,0946	-1,0970	-9,8354	0,9167	-0,3996	0,0000	0,0000	img_PilotCamera_Segmentation_1581526035691.jpg,img_FrontCenter_Segmentation_1581526035718.jpg
1581526035769	0,0962	-0,0133	-8,8354	0,9960	0,0000	0,0000	-0,0889	0,0962	-1,0970	-9,8354	0,9160	-0,4012	0,0000	0,0000	img_PilotCamera_Segmentation_1581526035742.jpg,img_FrontCenter_Segmentation_1581526035769.jpg
1581526035820	0,0997	-0,0017	-8,8354	0,9929	0,0000	0,0000	-0,1190	0,0997	-1,0970	-9,8354	0,9149	-0,4036	0,0000	0,0000	img_PilotCamera_Segmentation_1581526035794.jpg,img_FrontCenter_Segmentation_1581526035820.jpg
1581526035879	0,1055	0,0131	-8,8354	0,9903	0,0000	0,0000	-0,1391	0,1055	-1,0970	-9,8354	0,9136	-0,4066	0,0000	0,0000	img_PilotCamera_Segmentation_1581526035852.jpg,img_FrontCenter_Segmentation_1581526035879.jpg
1581526035921	0,1164	0,0351	-8,8354	0,9917	0,0000	0,0000	-0,1289	0,1164	-1,0970	-9,8354	0,9116	-0,4111	0,0000	0,0000	img_PilotCamera_Segmentation_1581526035898.jpg,img_FrontCenter_Segmentation_1581526035921.jpg
1581526035990	0,1268	0,0538	-8,8354	0,9942	0,0000	0,0000	-0,1080	0,1268	-1,0970	-9,8354	0,9099	-0,4148	0,0000	0,0000	img_PilotCamera_Segmentation_1581526035963.jpg,img_FrontCenter_Segmentation_1581526035990.jpg
