Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581527308536	1,3534	1,4919	2,3982	1,0000	0,0000	0,0000	0,0000	1,3534	-1,0970	1,3982	0,8247	-0,5655	0,0000	0,0000	img_PilotCamera_Segmentation_1581527308521.jpg,img_FrontCenter_Segmentation_1581527308536.jpg
1581527308603	1,3534	1,4035	2,3982	1,0000	0,0000	0,0000	0,0000	1,3534	-1,0970	1,3982	0,8280	-0,5607	0,0000	0,0000	img_PilotCamera_Segmentation_1581527308583.jpg,img_FrontCenter_Segmentation_1581527308603.jpg
1581527308662	1,3534	1,3693	2,3982	1,0000	0,0000	0,0000	0,0000	1,3534	-1,0970	1,3982	0,8294	-0,5587	0,0000	0,0000	img_PilotCamera_Segmentation_1581527308639.jpg,img_FrontCenter_Segmentation_1581527308662.jpg
1581527308712	1,3534	1,3271	2,3982	1,0000	0,0000	0,0000	0,0000	1,3534	-1,0970	1,3982	0,8311	-0,5562	0,0000	0,0000	img_PilotCamera_Segmentation_1581527308691.jpg,img_FrontCenter_Segmentation_1581527308712.jpg
1581527308763	1,3534	1,2731	2,3982	1,0000	0,0000	0,0000	0,0000	1,3534	-1,0970	1,3982	0,8333	-0,5528	0,0000	0,0000	img_PilotCamera_Segmentation_1581527308742.jpg,img_FrontCenter_Segmentation_1581527308763.jpg
1581527308819	1,3534	1,2149	2,3982	1,0000	0,0000	0,0000	0,0000	1,3534	-1,0970	1,3982	0,8358	-0,5491	0,0000	0,0000	img_PilotCamera_Segmentation_1581527308800.jpg,img_FrontCenter_Segmentation_1581527308819.jpg
1581527308877	1,3534	1,1573	2,3982	1,0000	0,0000	0,0000	0,0000	1,3534	-1,0970	1,3982	0,8383	-0,5452	0,0000	0,0000	img_PilotCamera_Segmentation_1581527308858.jpg,img_FrontCenter_Segmentation_1581527308877.jpg
1581527308936	1,3534	1,0790	2,3982	1,0000	0,0000	0,0000	0,0000	1,3534	-1,0970	1,3982	0,8419	-0,5396	0,0000	0,0000	img_PilotCamera_Segmentation_1581527308914.jpg,img_FrontCenter_Segmentation_1581527308936.jpg
1581527308987	1,3534	1,0057	2,3982	1,0000	0,0000	0,0000	0,0000	1,3534	-1,0970	1,3982	0,8454	-0,5341	0,0000	0,0000	img_PilotCamera_Segmentation_1581527308967.jpg,img_FrontCenter_Segmentation_1581527308987.jpg
1581527309044	1,3534	0,9403	2,3982	1,0000	0,0000	0,0000	0,0000	1,3534	-1,0970	1,3982	0,8487	-0,5289	0,0000	0,0000	img_PilotCamera_Segmentation_1581527309025.jpg,img_FrontCenter_Segmentation_1581527309044.jpg
1581527309094	1,3534	0,8569	2,3982	1,0000	0,0000	0,0000	0,0000	1,3534	-1,0970	1,3982	0,8531	-0,5217	0,0000	0,0000	img_PilotCamera_Segmentation_1581527309075.jpg,img_FrontCenter_Segmentation_1581527309094.jpg
