Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581527485455	0,0000	0,0000	0,0000	1,0000	0,0000	0,0000	0,0000	0,0000	-1,0970	-1,0000	0,9148	-0,4039	0,0000	0,0000	img_PilotCamera_Segmentation_1581527485444.jpg,img_FrontCenter_Segmentation_1581527485455.jpg
1581527485518	-2,7111	0,6088	5,2746	1,0000	0,0000	0,0000	0,0000	-2,7111	-0,8605	4,2746	0,8839	-0,4676	0,0000	0,0000	img_PilotCamera_Segmentation_1581527485503.jpg,img_FrontCenter_Segmentation_1581527485518.jpg
1581527485572	-2,7111	0,5756	5,2746	1,0000	0,0000	0,0000	0,0000	-2,7111	-0,8715	4,2746	0,8856	-0,4645	0,0000	0,0000	img_PilotCamera_Segmentation_1581527485557.jpg,img_FrontCenter_Segmentation_1581527485572.jpg
1581527485627	-2,7111	0,5374	5,2746	1,0000	0,0000	0,0000	0,0000	-2,7111	-0,8821	4,2746	0,8877	-0,4605	0,0000	0,0000	img_PilotCamera_Segmentation_1581527485612.jpg,img_FrontCenter_Segmentation_1581527485627.jpg
1581527485682	-2,7111	0,4772	5,2746	1,0000	0,0000	0,0000	0,0000	-2,7111	-0,8956	4,2746	0,8913	-0,4534	0,0000	0,0000	img_PilotCamera_Segmentation_1581527485667.jpg,img_FrontCenter_Segmentation_1581527485682.jpg
1581527485734	-2,7111	0,4245	5,2746	1,0000	0,0000	0,0000	0,0000	-2,7111	-0,9053	4,2746	0,8947	-0,4466	0,0000	0,0000	img_PilotCamera_Segmentation_1581527485718.jpg,img_FrontCenter_Segmentation_1581527485734.jpg
1581527485784	-2,7111	0,3666	5,2746	1,0000	0,0000	0,0000	0,0000	-2,7111	-0,9146	4,2746	0,8987	-0,4386	0,0000	0,0000	img_PilotCamera_Segmentation_1581527485770.jpg,img_FrontCenter_Segmentation_1581527485784.jpg
1581527485840	-2,7111	0,3035	5,2746	1,0000	0,0000	0,0000	0,0000	-2,7111	-0,9235	4,2746	0,9033	-0,4291	0,0000	0,0000	img_PilotCamera_Segmentation_1581527485824.jpg,img_FrontCenter_Segmentation_1581527485840.jpg
1581527485887	-2,7111	0,2353	5,2746	1,0000	0,0000	0,0000	0,0000	-2,7111	-0,9320	4,2746	0,9085	-0,4180	0,0000	0,0000	img_PilotCamera_Segmentation_1581527485872.jpg,img_FrontCenter_Segmentation_1581527485887.jpg
1581527485938	-2,7111	0,1622	5,2746	1,0000	0,0000	0,0000	0,0000	-2,7111	-0,9402	4,2746	0,9143	-0,4050	0,0000	0,0000	img_PilotCamera_Segmentation_1581527485924.jpg,img_FrontCenter_Segmentation_1581527485938.jpg
1581527485991	-2,7111	0,0888	5,2746	1,0000	0,0000	0,0000	0,0000	-2,7111	-0,9481	4,2746	0,9204	-0,3910	0,0000	0,0000	img_PilotCamera_Segmentation_1581527485977.jpg,img_FrontCenter_Segmentation_1581527485991.jpg
1581527486045	-2,7111	0,0112	5,2746	1,0000	0,0000	0,0000	0,0000	-2,7111	-0,9557	4,2746	0,9271	-0,3749	0,0000	0,0000	img_PilotCamera_Segmentation_1581527486030.jpg,img_FrontCenter_Segmentation_1581527486045.jpg
1581527486100	-2,7111	-0,1023	5,2746	1,0000	0,0000	0,0000	0,0000	-2,7111	-0,9654	4,2746	0,9373	-0,3485	0,0000	0,0000	img_PilotCamera_Segmentation_1581527486085.jpg,img_FrontCenter_Segmentation_1581527486100.jpg
1581527486154	-2,7111	-0,1897	5,2746	1,0000	0,0000	0,0000	0,0000	-2,7111	-0,9723	4,2746	0,9454	-0,3259	0,0000	0,0000	img_PilotCamera_Segmentation_1581527486139.jpg,img_FrontCenter_Segmentation_1581527486154.jpg
1581527486207	-2,7111	-0,2927	5,2746	1,0000	0,0000	0,0000	0,0000	-2,7111	-0,9789	4,2746	0,9551	-0,2962	0,0000	0,0000	img_PilotCamera_Segmentation_1581527486192.jpg,img_FrontCenter_Segmentation_1581527486207.jpg
1581527486258	-2,7111	-0,3945	5,2746	1,0000	0,0000	0,0000	0,0000	-2,7111	-0,9852	4,2746	0,9646	-0,2637	0,0000	0,0000	img_PilotCamera_Segmentation_1581527486243.jpg,img_FrontCenter_Segmentation_1581527486258.jpg
1581527486312	-2,7111	-0,5004	5,2746	1,0000	0,0000	0,0000	0,0000	-2,7111	-0,9914	4,2746	0,9741	-0,2262	0,0000	0,0000	img_PilotCamera_Segmentation_1581527486297.jpg,img_FrontCenter_Segmentation_1581527486312.jpg
1581527486365	-2,7111	-0,6347	5,2746	1,0000	0,0000	0,0000	0,0000	-2,7111	-0,9991	4,2746	0,9848	-0,1739	0,0000	0,0000	img_PilotCamera_Segmentation_1581527486351.jpg,img_FrontCenter_Segmentation_1581527486365.jpg
1581527486418	-2,7111	-0,7446	5,2746	1,0000	0,0000	0,0000	0,0000	-2,7111	-1,0047	4,2746	0,9919	-0,1269	0,0000	0,0000	img_PilotCamera_Segmentation_1581527486405.jpg,img_FrontCenter_Segmentation_1581527486418.jpg
1581527486470	-2,7110	-0,7544	5,2753	1,0000	0,0084	0,0003	-0,0007	-2,7112	-1,0100	4,2753	0,9922	-0,1248	0,0001	0,0000	img_PilotCamera_Segmentation_1581527486456.jpg,img_FrontCenter_Segmentation_1581527486470.jpg
1581527486521	-2,7110	-0,7524	5,2753	1,0000	0,0082	0,0003	-0,0007	-2,7112	-1,0152	4,2753	0,9918	-0,1281	0,0001	0,0000	img_PilotCamera_Segmentation_1581527486507.jpg,img_FrontCenter_Segmentation_1581527486521.jpg
1581527486572	-2,7110	-0,7460	5,2753	1,0000	0,0080	0,0003	-0,0006	-2,7112	-1,0201	4,2753	0,9911	-0,1334	0,0001	0,0000	img_PilotCamera_Segmentation_1581527486559.jpg,img_FrontCenter_Segmentation_1581527486572.jpg
1581527486626	-2,7110	-0,7360	5,2753	1,0000	0,0078	0,0003	-0,0006	-2,7112	-1,0248	4,2753	0,9901	-0,1401	0,0001	0,0000	img_PilotCamera_Segmentation_1581527486611.jpg,img_FrontCenter_Segmentation_1581527486626.jpg
1581527486679	-2,7110	-0,7201	5,2753	1,0000	0,0076	0,0003	-0,0006	-2,7112	-1,0294	4,2753	0,9888	-0,1494	0,0001	0,0000	img_PilotCamera_Segmentation_1581527486664.jpg,img_FrontCenter_Segmentation_1581527486679.jpg
1581527486732	-2,7110	-0,6955	5,2752	1,0000	0,0073	0,0003	-0,0006	-2,7112	-1,0352	4,2752	0,9866	-0,1630	0,0001	0,0000	img_PilotCamera_Segmentation_1581527486718.jpg,img_FrontCenter_Segmentation_1581527486732.jpg
