Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581526591890	-2,1920	9,1355	-27,9215	1,0000	0,0000	0,0000	0,0000	-2,1920	-1,0970	-28,9215	0,7407	-0,6718	0,0000	0,0000	img_PilotCamera_Segmentation_1581526591881.jpg,img_FrontCenter_Segmentation_1581526591890.jpg
1581526591969	-2,1920	9,0414	-27,9215	1,0000	0,0000	0,0000	0,0000	-2,1920	-1,0970	-28,9215	0,7410	-0,6715	0,0000	0,0000	img_PilotCamera_Segmentation_1581526591943.jpg,img_FrontCenter_Segmentation_1581526591969.jpg
1581526592013	-2,1920	9,0040	-27,9215	1,0000	0,0000	0,0000	0,0000	-2,1920	-1,0971	-28,9215	0,7411	-0,6714	0,0000	0,0000	img_PilotCamera_Segmentation_1581526591993.jpg,img_FrontCenter_Segmentation_1581526592013.jpg
1581526592076	-2,1920	8,9656	-27,9215	1,0000	0,0000	0,0000	0,0000	-2,1920	-1,0971	-28,9215	0,7412	-0,6712	0,0000	0,0000	img_PilotCamera_Segmentation_1581526592051.jpg,img_FrontCenter_Segmentation_1581526592076.jpg
1581526592120	-2,1920	8,9079	-27,9215	1,0000	0,0000	0,0000	0,0000	-2,1920	-1,0971	-28,9215	0,7414	-0,6710	0,0000	0,0000	img_PilotCamera_Segmentation_1581526592100.jpg,img_FrontCenter_Segmentation_1581526592120.jpg
1581526592186	-2,1920	8,8552	-27,9215	1,0000	0,0000	0,0000	0,0000	-2,1920	-1,0971	-28,9215	0,7416	-0,6708	0,0000	0,0000	img_PilotCamera_Segmentation_1581526592157.jpg,img_FrontCenter_Segmentation_1581526592186.jpg
1581526592229	-2,1920	8,7937	-27,9215	1,0000	0,0000	0,0000	0,0000	-2,1920	-1,0971	-28,9215	0,7418	-0,6706	0,0000	0,0000	img_PilotCamera_Segmentation_1581526592209.jpg,img_FrontCenter_Segmentation_1581526592229.jpg
1581526592292	-2,1920	8,7341	-27,9215	1,0000	0,0000	0,0000	0,0000	-2,1920	-1,0971	-28,9215	0,7420	-0,6704	0,0000	0,0000	img_PilotCamera_Segmentation_1581526592265.jpg,img_FrontCenter_Segmentation_1581526592292.jpg
1581526592335	-2,1920	8,6492	-27,9215	1,0000	0,0000	0,0000	0,0000	-2,1920	-1,0971	-28,9215	0,7423	-0,6700	0,0000	0,0000	img_PilotCamera_Segmentation_1581526592315.jpg,img_FrontCenter_Segmentation_1581526592335.jpg
1581526592398	-2,1920	8,5703	-27,9215	1,0000	0,0000	0,0000	0,0000	-2,1920	-1,0971	-28,9215	0,7426	-0,6697	0,0000	0,0000	img_PilotCamera_Segmentation_1581526592371.jpg,img_FrontCenter_Segmentation_1581526592398.jpg
