Timestamp_t1	Position(x)_t1	Position(y)_t1	Position(z)_t1	Orientation(x)_t1	Orientation(y)_t1	Orientation(z)_t1	Orientation(w)_t1	Timestamp_t2	Position(x)_t2	Position(y)_t2	Position(z)_t2	Orientation(x)_t2	Orientation(y)_t2	Orientation(z)_t2	Orientation(w)_t2	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(x)	PilotRot(y)	PilotRot(z)	PilotRot(w)	Frame_id1	Frame_id2	ImageName
1581526592655	2.192	27.9215	8.1065	0.707	0.0	0.0	0.707	1581526592717	2.192	27.9215	8.0219	0.707	0.0	0.0	0.707	2.156514433438209	27.89960443343821	9.033714433438208	0.16518007523579015	-0.07117523168247067	-0.38926766040654803	0.9033937777634168	0	1	img_PilotCamera_Segmentation_1581526592691.jpg,img_FrontCenter_Segmentation_1581526592717.jpg
1581526592760	2.192	27.9215	7.9373	0.707	0.0	0.0	0.707	1581526592824	2.192	27.9215	7.8625	0.707	0.0	0.0	0.707	2.2051624708591624	27.948252470859163	9.082362470859161	0.15115497216300877	-0.06285148206116917	-0.3787605241288044	0.9109019326770517	2	3	img_PilotCamera_Segmentation_1581526592797.jpg,img_FrontCenter_Segmentation_1581526592824.jpg
1581526592868	2.192	27.9215	7.8356	0.707	0.0	0.0	0.707	1581526592922	2.192	27.9215	7.7185	0.707	0.0	0.0	0.707	2.1627475881803657	27.905837588180365	9.039947588180365	0.057514181730426384	0.01857585290619494	0.30678393399399606	0.949858239124057	4	5	img_PilotCamera_Segmentation_1581526592897.jpg,img_FrontCenter_Segmentation_1581526592922.jpg
1581526592975	2.192	27.9215	7.6952	0.707	0.0	0.0	0.707	1581526593030	2.192	27.9215	7.697	0.707	0.0	0.0	0.707	2.153654742624742	27.89674474262474	9.030854742624742	0.11347189255965531	0.1145664879695705	0.7011950215761026	0.6944956379633621	6	7	img_PilotCamera_Segmentation_1581526593005.jpg,img_FrontCenter_Segmentation_1581526593030.jpg
1581526593083	2.192	27.9215	7.7027	0.707	0.0	0.0	0.707	1581526593137	2.192	27.9215	7.713	0.707	0.0	0.0	0.707	2.1644295706074015	27.907519570607402	9.0416295706074	0.08354673117305471	-0.05419322187446709	-0.5414912784277554	0.8347875381196326	8	9	img_PilotCamera_Segmentation_1581526593112.jpg,img_FrontCenter_Segmentation_1581526593137.jpg
1581526593190	2.192	27.9215	7.7285	0.707	0.0	0.0	0.707	1581526593243	2.192	27.9215	7.7528	0.707	0.0	0.0	0.707	2.126896414056012	27.86998641405601	9.004096414056011	-0.01453393906514058	0.12826951975571851	0.9853278698494956	-0.11164534837933618	10	11	img_PilotCamera_Segmentation_1581526593218.jpg,img_FrontCenter_Segmentation_1581526593243.jpg
1581526593296	2.192	27.9215	7.7772	0.707	0.0	0.0	0.707	1581526593348	2.192	27.9215	7.8041	0.707	0.0	0.0	0.707	2.176020076082773	27.919110076082774	9.053220076082772	0.09111514471364439	0.19517838639849092	0.8848561576824465	0.41307748437569225	12	13	img_PilotCamera_Segmentation_1581526593323.jpg,img_FrontCenter_Segmentation_1581526593348.jpg
1581526593402	2.192	27.9215	7.8368	0.707	0.0	0.0	0.707	1581526593454	2.192	27.9215	7.8736	0.707	0.0	0.0	0.707	2.1376515322306298	27.88074153223063	9.01485153223063	-0.03457518646845039	0.09892501090932608	0.9388051344735804	-0.3281208895869084	14	15	img_PilotCamera_Segmentation_1581526593429.jpg,img_FrontCenter_Segmentation_1581526593454.jpg
1581526593506	2.192	27.9215	7.9249	0.707	0.0	0.0	0.707	1581526593559	2.192	27.9215	7.9709	0.707	0.0	0.0	0.707	2.1390360384720197	27.88212603847202	9.01623603847202	0.19418431841891554	-0.02301859527488251	-0.1154432517458985	0.973876506738963	16	17	img_PilotCamera_Segmentation_1581526593533.jpg,img_FrontCenter_Segmentation_1581526593559.jpg
1581526593613	2.192	27.9215	8.0235	0.7026165999999999	0.0	0.0	0.7113834	1581526593667	2.192	27.9214	8.0719	0.6834568999999999	0.0	0.0	0.7298361	2.2702014968562527	28.01329149685625	9.147401496856252	0.12941867572341814	-0.06984611838099847	-0.46977451138615794	0.8704505928385601	18	19	img_PilotCamera_Segmentation_1581526593639.jpg,img_FrontCenter_Segmentation_1581526593667.jpg
1581526593720	2.192	27.9207	8.1287	0.65751	-0.0004948999999999999	-0.0004948999999999999	0.7532378	1581526593773	2.192	27.9192	8.1801	0.6346031999999999	-0.0017675	-0.0019088999999999998	0.7726096	2.1364625402889836	27.879552540288984	9.013662540288983	0.041616559438263374	0.05037665484069809	0.7693061228456729	0.6355299709531733	20	21	img_PilotCamera_Segmentation_1581526593749.jpg,img_FrontCenter_Segmentation_1581526593773.jpg
