Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580753867901	-0,9430	1,5085	6,3843	1,0000	0,0000	0,0000	0,0000	-0,9430	-1,0970	5,3843	0,8241	-0,5664	0,0000	0,0000	img_PilotCamera_Segmentation_1580753867810.jpg,img_FrontCenter_Segmentation_1580753867901.jpg
1580753868003	-0,9430	1,3608	6,3843	1,0000	0,0000	0,0000	0,0000	-0,9430	-1,0970	5,3843	0,8297	-0,5582	0,0000	0,0000	img_PilotCamera_Segmentation_1580753867990.jpg,img_FrontCenter_Segmentation_1580753868003.jpg
1580753868044	-0,9430	1,2896	6,3843	1,0000	0,0000	0,0000	0,0000	-0,9430	-1,0970	5,3843	0,8326	-0,5539	0,0000	0,0000	img_PilotCamera_Segmentation_1580753868033.jpg,img_FrontCenter_Segmentation_1580753868044.jpg
1580753868095	-0,9430	1,2379	6,3843	1,0000	0,0000	0,0000	0,0000	-0,9430	-1,0970	5,3843	0,8348	-0,5506	0,0000	0,0000	img_PilotCamera_Segmentation_1580753868084.jpg,img_FrontCenter_Segmentation_1580753868095.jpg
1580753868144	-0,9430	1,1809	6,3843	1,0000	0,0000	0,0000	0,0000	-0,9430	-1,0970	5,3843	0,8372	-0,5468	0,0000	0,0000	img_PilotCamera_Segmentation_1580753868133.jpg,img_FrontCenter_Segmentation_1580753868144.jpg
1580753868197	-0,9430	1,1225	6,3843	1,0000	0,0000	0,0000	0,0000	-0,9430	-1,0970	5,3843	0,8399	-0,5428	0,0000	0,0000	img_PilotCamera_Segmentation_1580753868185.jpg,img_FrontCenter_Segmentation_1580753868197.jpg
1580753868251	-0,9430	1,0514	6,3843	1,0000	0,0000	0,0000	0,0000	-0,9430	-1,0970	5,3843	0,8432	-0,5376	0,0000	0,0000	img_PilotCamera_Segmentation_1580753868238.jpg,img_FrontCenter_Segmentation_1580753868251.jpg
1580753868298	-0,9430	0,9835	6,3843	1,0000	0,0000	0,0000	0,0000	-0,9430	-1,0970	5,3843	0,8465	-0,5323	0,0000	0,0000	img_PilotCamera_Segmentation_1580753868287.jpg,img_FrontCenter_Segmentation_1580753868298.jpg
1580753868352	-0,9430	0,8878	6,3843	1,0000	0,0000	0,0000	0,0000	-0,9430	-1,0970	5,3843	0,8515	-0,5244	0,0000	0,0000	img_PilotCamera_Segmentation_1580753868341.jpg,img_FrontCenter_Segmentation_1580753868352.jpg
1580753868407	-0,9430	0,7999	6,3843	1,0000	0,0000	0,0000	0,0000	-0,9430	-1,0970	5,3843	0,8563	-0,5166	0,0000	0,0000	img_PilotCamera_Segmentation_1580753868394.jpg,img_FrontCenter_Segmentation_1580753868407.jpg
1580753868462	-0,9430	0,7173	6,3843	1,0000	0,0000	0,0000	0,0000	-0,9430	-1,0970	5,3843	0,8610	-0,5086	0,0000	0,0000	img_PilotCamera_Segmentation_1580753868451.jpg,img_FrontCenter_Segmentation_1580753868462.jpg
1580753868517	-0,9430	0,6251	6,3843	1,0000	0,0000	0,0000	0,0000	-0,9430	-1,0970	5,3843	0,8666	-0,4989	0,0000	0,0000	img_PilotCamera_Segmentation_1580753868505.jpg,img_FrontCenter_Segmentation_1580753868517.jpg
1580753868569	-0,9430	0,4992	6,3843	1,0000	0,0000	0,0000	0,0000	-0,9430	-1,0970	5,3843	0,8749	-0,4843	0,0000	0,0000	img_PilotCamera_Segmentation_1580753868558.jpg,img_FrontCenter_Segmentation_1580753868569.jpg
1580753868623	-0,9430	0,3970	6,3843	1,0000	0,0000	0,0000	0,0000	-0,9430	-1,0970	5,3843	0,8821	-0,4710	0,0000	0,0000	img_PilotCamera_Segmentation_1580753868611.jpg,img_FrontCenter_Segmentation_1580753868623.jpg
1580753868678	-0,9430	0,2905	6,3843	1,0000	0,0000	0,0000	0,0000	-0,9430	-1,0970	5,3843	0,8901	-0,4557	0,0000	0,0000	img_PilotCamera_Segmentation_1580753868668.jpg,img_FrontCenter_Segmentation_1580753868678.jpg
