Timestamp_t1	Position(x)_t1	Position(y)_t1	Position(z)_t1	Orientation(x)_t1	Orientation(y)_t1	Orientation(z)_t1	Orientation(w)_t1	Timestamp_t2	Position(x)_t2	Position(y)_t2	Position(z)_t2	Orientation(x)_t2	Orientation(y)_t2	Orientation(z)_t2	Orientation(w)_t2	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(x)	PilotRot(y)	PilotRot(z)	PilotRot(w)	Frame_id1	Frame_id2	ImageName
1580753868569	0.943	-6.3843	0.4992	0.707	0.0	0.0	0.707	1580753868623	0.943	-6.3843	0.397	0.707	0.0	0.0	0.707	0.7819015358779502	-6.57016846412205	1.30013153587795	0.22090399305568317	0.12756199444645455	0.483524153333387	0.8373373015506527	0	1	img_PilotCamera_Segmentation_1580753868611.jpg,img_FrontCenter_Segmentation_1580753868623.jpg
1580753868678	0.943	-6.3843	0.2905	0.707	0.0	0.0	0.707	1580753868729	0.943	-6.3843	0.1865	0.707	0.0	0.0	0.707	0.8868188668764176	-6.465251133123583	1.4050488668764174	0.16263535949820535	-0.06392717082187145	-0.36019554338078646	0.9163635889755881	2	3	img_PilotCamera_Segmentation_1580753868719.jpg,img_FrontCenter_Segmentation_1580753868729.jpg
1580753868784	0.943	-6.3843	0.0722	0.707	0.0	0.0	0.707	1580753868830	0.943	-6.3843	0.113	0.707	0.0	0.0	0.707	0.9841149417183249	-6.367955058281676	1.5023449417183248	0.11958749856202211	-0.04448056669359122	-0.3457666137919105	0.9296051625078097	4	5	img_PilotCamera_Segmentation_1580753868824.jpg,img_FrontCenter_Segmentation_1580753868830.jpg
1580753868987	0.943	-6.3843	0.113	0.707	0.0	0.0	0.707	1580753869037	0.943	-6.3843	0.1144	0.707	0.0	0.0	0.707	0.8810994852494844	-6.470970514750516	1.3993294852494844	0.12123010857353518	0.10474677649873362	0.6453461087551593	0.7469001094543682	6	7	img_PilotCamera_Segmentation_1580753869031.jpg,img_FrontCenter_Segmentation_1580753869037.jpg
1580753869091	0.943	-6.3843	0.1205	0.707	0.0	0.0	0.707	1580753869147	0.943	-6.3843	0.1293	0.707	0.0	0.0	0.707	0.9026491412148028	-6.4494208587851976	1.4208791412148027	0.09903272006229082	-0.055828517314556646	-0.4878965625080359	0.8654667187733821	8	9	img_PilotCamera_Segmentation_1580753869136.jpg,img_FrontCenter_Segmentation_1580753869147.jpg
1580753869301	0.943	-6.3843	0.1845	0.707	0.0	0.0	0.707	1580753869351	0.943	-6.3843	0.2202	0.707	0.0	0.0	0.707	0.9258301521655454	-6.426239847834455	1.4440601521655452	0.0939736522811586	0.18656012232841396	0.8733923507042824	0.4399432635749694	10	11	img_PilotCamera_Segmentation_1580753869341.jpg,img_FrontCenter_Segmentation_1580753869351.jpg
1580753869405	0.943	-6.3843	0.2527	0.707	0.0	0.0	0.707	1580753869462	0.943	-6.3843	0.2872	0.707	0.0	0.0	0.707	0.8490930644612598	-6.502976935538741	1.3673230644612597	-0.04790915576384532	0.0888306606310827	0.8756571858719936	-0.4722693292567092	12	13	img_PilotCamera_Segmentation_1580753869451.jpg,img_FrontCenter_Segmentation_1580753869462.jpg
1580753869513	0.943	-6.3843	0.3294	0.707	-0.0005656	-0.0005656	0.707	1580753869568	0.943	-6.3843	0.3671	0.707	-0.0024037999999999998	-0.0024037999999999998	0.707	0.851862076944039	-6.500207923055961	1.3700920769440388	0.233930210396183	-0.03200504132741076	-0.13171919901364754	0.9627576988031991	14	15	img_PilotCamera_Segmentation_1580753869556.jpg,img_FrontCenter_Segmentation_1580753869568.jpg
1580753869621	0.943	-6.3843	0.4185	0.707	-0.00707	-0.00707	0.707	1580753869673	0.943	-6.3843	0.458	0.7068586	-0.012301799999999998	-0.012301799999999998	0.7068586	1.1141929937125052	-6.237877006287495	1.632422993712505	0.08836805023445977	-0.046564002505044326	-0.46384230042347535	0.8802688235455852	16	17	img_PilotCamera_Segmentation_1580753869661.jpg,img_FrontCenter_Segmentation_1580753869673.jpg
1580753869727	0.943	-6.3843	0.4952	0.7067879	-0.0183113	-0.0183113	0.7067879	1580753869779	0.943	-6.3843	0.536	0.7067171999999999	-0.0279972	-0.0210686	0.7064344	0.8467150805779668	-6.505354919422033	1.3649450805779666	0.04583574393421489	0.025820286933671138	0.4901255985239855	0.8700628109695099	18	19	img_PilotCamera_Segmentation_1580753869767.jpg,img_FrontCenter_Segmentation_1580753869779.jpg
