Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581528182523	1,0772	-1,7123	-13,4890	1,0000	0,0000	0,0000	0,0000	1,0772	-1,0970	-14,4890	0,9622	0,2723	0,0000	0,0000	img_PilotCamera_Segmentation_1581528182515.jpg,img_FrontCenter_Segmentation_1581528182523.jpg
1581528182579	1,0772	-1,8122	-13,4890	1,0000	0,0000	0,0000	0,0000	1,0772	-1,0970	-14,4890	0,9522	0,3055	0,0000	0,0000	img_PilotCamera_Segmentation_1581528182568.jpg,img_FrontCenter_Segmentation_1581528182579.jpg
1581528182627	1,0772	-1,8460	-13,4890	1,0000	0,0000	0,0000	0,0000	1,0772	-1,0969	-14,4890	0,9488	0,3160	0,0000	0,0000	img_PilotCamera_Segmentation_1581528182621.jpg,img_FrontCenter_Segmentation_1581528182627.jpg
1581528182682	1,0772	-1,8822	-13,4890	1,0000	0,0000	0,0000	0,0000	1,0772	-1,0970	-14,4890	0,9451	0,3267	0,0000	0,0000	img_PilotCamera_Segmentation_1581528182674.jpg,img_FrontCenter_Segmentation_1581528182682.jpg
1581528182735	1,0772	-1,9428	-13,4890	1,0000	0,0000	0,0000	0,0000	1,0772	-1,0970	-14,4890	0,9390	0,3439	0,0000	0,0000	img_PilotCamera_Segmentation_1581528182729.jpg,img_FrontCenter_Segmentation_1581528182735.jpg
1581528182791	1,0772	-1,9958	-13,4890	1,0000	0,0000	0,0000	0,0000	1,0772	-1,0970	-14,4890	0,9337	0,3580	0,0000	0,0000	img_PilotCamera_Segmentation_1581528182782.jpg,img_FrontCenter_Segmentation_1581528182791.jpg
1581528182843	1,0772	-2,0505	-13,4890	1,0000	0,0000	0,0000	0,0000	1,0772	-1,0969	-14,4890	0,9284	0,3717	0,0000	0,0000	img_PilotCamera_Segmentation_1581528182836.jpg,img_FrontCenter_Segmentation_1581528182843.jpg
1581528182896	1,0772	-2,1136	-13,4890	1,0000	0,0000	0,0000	0,0000	1,0772	-1,0970	-14,4890	0,9223	0,3865	0,0000	0,0000	img_PilotCamera_Segmentation_1581528182887.jpg,img_FrontCenter_Segmentation_1581528182896.jpg
1581528182949	1,0772	-2,1776	-13,4890	1,0000	0,0000	0,0000	0,0000	1,0772	-1,0969	-14,4890	0,9163	0,4005	0,0000	0,0000	img_PilotCamera_Segmentation_1581528182939.jpg,img_FrontCenter_Segmentation_1581528182949.jpg
1581528183000	1,0772	-2,2460	-13,4890	1,0000	0,0000	0,0000	0,0000	1,0772	-1,0970	-14,4890	0,9101	0,4144	0,0000	0,0000	img_PilotCamera_Segmentation_1581528182990.jpg,img_FrontCenter_Segmentation_1581528183000.jpg
1581528183054	1,0772	-2,3425	-13,4890	1,0000	0,0000	0,0000	0,0000	1,0772	-1,0969	-14,4890	0,9017	0,4324	0,0000	0,0000	img_PilotCamera_Segmentation_1581528183045.jpg,img_FrontCenter_Segmentation_1581528183054.jpg
1581528183107	1,0772	-2,4259	-13,4890	1,0000	0,0000	0,0000	0,0000	1,0772	-1,0970	-14,4890	0,8948	0,4465	0,0000	0,0000	img_PilotCamera_Segmentation_1581528183097.jpg,img_FrontCenter_Segmentation_1581528183107.jpg
1581528183154	1,0772	-2,5087	-13,4890	1,0000	0,0000	0,0000	0,0000	1,0772	-1,0970	-14,4890	0,8883	0,4593	0,0000	0,0000	img_PilotCamera_Segmentation_1581528183146.jpg,img_FrontCenter_Segmentation_1581528183154.jpg
1581528183207	1,0772	-2,5956	-13,4890	1,0000	0,0000	0,0000	0,0000	1,0772	-1,0970	-14,4890	0,8818	0,4717	0,0000	0,0000	img_PilotCamera_Segmentation_1581528183198.jpg,img_FrontCenter_Segmentation_1581528183207.jpg
1581528183258	1,0772	-2,6864	-13,4890	1,0000	0,0000	0,0000	0,0000	1,0772	-1,0970	-14,4890	0,8754	0,4835	0,0000	0,0000	img_PilotCamera_Segmentation_1581528183250.jpg,img_FrontCenter_Segmentation_1581528183258.jpg
1581528183310	1,0772	-2,7871	-13,4890	1,0000	0,0000	0,0000	0,0000	1,0772	-1,0970	-14,4890	0,8687	0,4954	0,0000	0,0000	img_PilotCamera_Segmentation_1581528183303.jpg,img_FrontCenter_Segmentation_1581528183310.jpg
1581528183361	1,0772	-2,8790	-13,4890	1,0000	0,0000	0,0000	0,0000	1,0772	-1,0970	-14,4890	0,8630	0,5053	0,0000	0,0000	img_PilotCamera_Segmentation_1581528183356.jpg,img_FrontCenter_Segmentation_1581528183361.jpg
1581528183412	1,0772	-2,9856	-13,4890	1,0000	0,0000	0,0000	0,0000	1,0772	-1,0970	-14,4890	0,8567	0,5158	0,0000	0,0000	img_PilotCamera_Segmentation_1581528183405.jpg,img_FrontCenter_Segmentation_1581528183412.jpg
1581528183463	1,0772	-3,0806	-13,4890	1,0000	0,0000	0,0000	0,0000	1,0772	-1,0970	-14,4890	0,8515	0,5243	0,0000	0,0000	img_PilotCamera_Segmentation_1581528183455.jpg,img_FrontCenter_Segmentation_1581528183463.jpg
1581528183514	1,0772	-3,1649	-13,4890	1,0000	0,0000	0,0000	0,0000	1,0772	-1,0969	-14,4890	0,8472	0,5313	0,0000	0,0000	img_PilotCamera_Segmentation_1581528183506.jpg,img_FrontCenter_Segmentation_1581528183514.jpg
1581528183566	1,0776	-3,1620	-13,4891	1,0000	-0,0094	0,0018	0,0015	1,0765	-1,0970	-14,4891	0,8473	0,5311	0,0005	-0,0003	img_PilotCamera_Segmentation_1581528183559.jpg,img_FrontCenter_Segmentation_1581528183566.jpg
1581528183623	1,0776	-3,1576	-13,4891	1,0000	-0,0091	0,0017	0,0014	1,0765	-1,0970	-14,4891	0,8475	0,5308	0,0004	-0,0003	img_PilotCamera_Segmentation_1581528183614.jpg,img_FrontCenter_Segmentation_1581528183623.jpg
1581528183674	1,0776	-3,1498	-13,4891	1,0000	-0,0088	0,0017	0,0014	1,0766	-1,0970	-14,4891	0,8479	0,5301	0,0004	-0,0003	img_PilotCamera_Segmentation_1581528183666.jpg,img_FrontCenter_Segmentation_1581528183674.jpg
1581528183725	1,0776	-3,1381	-13,4891	1,0000	-0,0086	0,0017	0,0013	1,0766	-1,0969	-14,4891	0,8485	0,5292	0,0004	-0,0003	img_PilotCamera_Segmentation_1581528183717.jpg,img_FrontCenter_Segmentation_1581528183725.jpg
1581528183779	1,0775	-3,1215	-13,4891	1,0000	-0,0084	0,0016	0,0013	1,0766	-1,0970	-14,4891	0,8494	0,5278	0,0004	-0,0003	img_PilotCamera_Segmentation_1581528183773.jpg,img_FrontCenter_Segmentation_1581528183779.jpg
1581528183832	1,0775	-3,1032	-13,4891	1,0000	-0,0082	0,0016	0,0013	1,0766	-1,0970	-14,4891	0,8503	0,5263	0,0004	-0,0002	img_PilotCamera_Segmentation_1581528183825.jpg,img_FrontCenter_Segmentation_1581528183832.jpg
