Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580754864174	4,9774	1,5545	-3,3732	1,0000	0,0000	0,0000	0,0000	4,9774	-1,0970	-4,3732	0,8225	-0,5688	0,0000	0,0000	img_PilotCamera_Segmentation_1580754864012.jpg,img_FrontCenter_Segmentation_1580754864174.jpg
1580754864307	4,9774	1,3327	-3,3732	1,0000	0,0000	0,0000	0,0000	4,9774	-1,0970	-4,3732	0,8308	-0,5565	0,0000	0,0000	img_PilotCamera_Segmentation_1580754864290.jpg,img_FrontCenter_Segmentation_1580754864307.jpg
1580754864370	4,9774	1,2163	-3,3732	1,0000	0,0000	0,0000	0,0000	4,9774	-1,0970	-4,3732	0,8357	-0,5492	0,0000	0,0000	img_PilotCamera_Segmentation_1580754864347.jpg,img_FrontCenter_Segmentation_1580754864370.jpg
1580754864412	4,9774	1,1983	-3,3732	1,0000	0,0000	0,0000	0,0000	4,9774	-1,0970	-4,3732	0,8365	-0,5480	0,0000	0,0000	img_PilotCamera_Segmentation_1580754864394.jpg,img_FrontCenter_Segmentation_1580754864412.jpg
1580754864470	4,9774	1,0892	-3,3732	1,0000	0,0000	0,0000	0,0000	4,9774	-1,0970	-4,3732	0,8414	-0,5404	0,0000	0,0000	img_PilotCamera_Segmentation_1580754864449.jpg,img_FrontCenter_Segmentation_1580754864470.jpg
1580754864520	4,9774	0,9984	-3,3732	1,0000	0,0000	0,0000	0,0000	4,9774	-1,0970	-4,3732	0,8458	-0,5335	0,0000	0,0000	img_PilotCamera_Segmentation_1580754864499.jpg,img_FrontCenter_Segmentation_1580754864520.jpg
1580754864568	4,9774	0,9195	-3,3732	1,0000	0,0000	0,0000	0,0000	4,9774	-1,0970	-4,3732	0,8498	-0,5271	0,0000	0,0000	img_PilotCamera_Segmentation_1580754864551.jpg,img_FrontCenter_Segmentation_1580754864568.jpg
1580754864624	4,9774	0,8307	-3,3732	1,0000	0,0000	0,0000	0,0000	4,9774	-1,0970	-4,3732	0,8545	-0,5194	0,0000	0,0000	img_PilotCamera_Segmentation_1580754864604.jpg,img_FrontCenter_Segmentation_1580754864624.jpg
1580754864679	4,9774	0,7474	-3,3732	1,0000	0,0000	0,0000	0,0000	4,9774	-1,0970	-4,3732	0,8593	-0,5115	0,0000	0,0000	img_PilotCamera_Segmentation_1580754864659.jpg,img_FrontCenter_Segmentation_1580754864679.jpg
1580754864731	4,9774	0,6544	-3,3732	1,0000	0,0000	0,0000	0,0000	4,9774	-1,0970	-4,3732	0,8648	-0,5021	0,0000	0,0000	img_PilotCamera_Segmentation_1580754864712.jpg,img_FrontCenter_Segmentation_1580754864731.jpg
1580754864785	4,9774	0,5334	-3,3732	1,0000	0,0000	0,0000	0,0000	4,9774	-1,0970	-4,3732	0,8726	-0,4885	0,0000	0,0000	img_PilotCamera_Segmentation_1580754864767.jpg,img_FrontCenter_Segmentation_1580754864785.jpg
1580754864838	4,9774	0,4245	-3,3732	1,0000	0,0000	0,0000	0,0000	4,9774	-1,0970	-4,3732	0,8801	-0,4747	0,0000	0,0000	img_PilotCamera_Segmentation_1580754864818.jpg,img_FrontCenter_Segmentation_1580754864838.jpg
1580754864892	4,9774	0,3173	-3,3732	1,0000	0,0000	0,0000	0,0000	4,9774	-1,0970	-4,3732	0,8881	-0,4597	0,0000	0,0000	img_PilotCamera_Segmentation_1580754864870.jpg,img_FrontCenter_Segmentation_1580754864892.jpg
1580754864943	4,9774	0,2126	-3,3732	1,0000	0,0000	0,0000	0,0000	4,9774	-1,0970	-4,3732	0,8963	-0,4434	0,0000	0,0000	img_PilotCamera_Segmentation_1580754864923.jpg,img_FrontCenter_Segmentation_1580754864943.jpg
1580754864997	4,9774	0,1045	-3,3732	1,0000	0,0000	0,0000	0,0000	4,9774	-1,0970	-4,3732	0,9055	-0,4244	0,0000	0,0000	img_PilotCamera_Segmentation_1580754864978.jpg,img_FrontCenter_Segmentation_1580754864997.jpg
1580754865047	4,9776	0,0719	-3,3732	0,9983	-0,0165	0,0001	-0,0560	4,9770	-1,0970	-4,3732	0,9083	-0,4183	0,0003	0,0001	img_PilotCamera_Segmentation_1580754865034.jpg,img_FrontCenter_Segmentation_1580754865047.jpg
1580754865102	4,9776	0,0727	-3,3732	0,9984	-0,0161	0,0001	-0,0546	4,9771	-1,0970	-4,3732	0,9082	-0,4184	0,0003	0,0001	img_PilotCamera_Segmentation_1580754865084.jpg,img_FrontCenter_Segmentation_1580754865102.jpg
1580754865158	4,9776	0,0780	-3,3732	0,9985	-0,0157	0,0001	-0,0533	4,9771	-1,0970	-4,3732	0,9078	-0,4194	0,0002	0,0001	img_PilotCamera_Segmentation_1580754865137.jpg,img_FrontCenter_Segmentation_1580754865158.jpg
