Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580755336361	1,9808	1,5116	-8,8003	1,0000	0,0000	0,0000	0,0000	1,9808	-1,0970	-9,8003	0,8240	-0,5666	0,0000	0,0000	img_PilotCamera_Segmentation_1580755336286.jpg,img_FrontCenter_Segmentation_1580755336361.jpg
1580755336436	1,9807	1,3881	-8,7999	1,0000	-0,0033	0,0017	0,0016	1,9797	-1,0970	-9,7999	0,8286	-0,5598	0,0004	0,0003	img_PilotCamera_Segmentation_1580755336428.jpg,img_FrontCenter_Segmentation_1580755336436.jpg
1580755336489	1,9807	1,3144	-8,7999	1,0000	-0,0032	0,0017	0,0015	1,9797	-1,0970	-9,7999	0,8316	-0,5554	0,0004	0,0003	img_PilotCamera_Segmentation_1580755336478.jpg,img_FrontCenter_Segmentation_1580755336489.jpg
1580755336539	1,9807	1,2652	-8,7999	1,0000	-0,0031	0,0016	0,0015	1,9797	-1,0970	-9,7999	0,8336	-0,5523	0,0004	0,0003	img_PilotCamera_Segmentation_1580755336528.jpg,img_FrontCenter_Segmentation_1580755336539.jpg
1580755336594	1,9807	1,2107	-8,8000	1,0000	-0,0030	0,0016	0,0014	1,9798	-1,0970	-9,8000	0,8359	-0,5488	0,0004	0,0003	img_PilotCamera_Segmentation_1580755336584.jpg,img_FrontCenter_Segmentation_1580755336594.jpg
1580755336643	1,9807	1,1546	-8,8000	1,0000	-0,0030	0,0015	0,0014	1,9798	-1,0970	-9,8000	0,8384	-0,5450	0,0004	0,0003	img_PilotCamera_Segmentation_1580755336631.jpg,img_FrontCenter_Segmentation_1580755336643.jpg
1580755336697	1,9807	1,0861	-8,8000	1,0000	-0,0029	0,0015	0,0014	1,9798	-1,0970	-9,8000	0,8416	-0,5402	0,0004	0,0002	img_PilotCamera_Segmentation_1580755336687.jpg,img_FrontCenter_Segmentation_1580755336697.jpg
1580755336751	1,9807	1,0204	-8,8000	1,0000	-0,0028	0,0015	0,0013	1,9798	-1,0970	-9,8000	0,8447	-0,5352	0,0004	0,0002	img_PilotCamera_Segmentation_1580755336740.jpg,img_FrontCenter_Segmentation_1580755336751.jpg
1580755336800	1,9807	0,9458	-8,8000	1,0000	-0,0028	0,0014	0,0013	1,9799	-1,0970	-9,8000	0,8484	-0,5293	0,0004	0,0002	img_PilotCamera_Segmentation_1580755336789.jpg,img_FrontCenter_Segmentation_1580755336800.jpg
1580755336853	1,9807	0,8711	-8,8000	1,0000	-0,0027	0,0014	0,0013	1,9799	-1,0970	-9,8000	0,8523	-0,5230	0,0004	0,0002	img_PilotCamera_Segmentation_1580755336842.jpg,img_FrontCenter_Segmentation_1580755336853.jpg
1580755336904	1,9807	0,7922	-8,8000	1,0000	-0,0026	0,0014	0,0012	1,9799	-1,0970	-9,8000	0,8567	-0,5158	0,0003	0,0002	img_PilotCamera_Segmentation_1580755336892.jpg,img_FrontCenter_Segmentation_1580755336904.jpg
1580755336958	1,9807	0,6715	-8,8000	1,0000	-0,0025	0,0013	0,0012	1,9799	-1,0970	-9,8000	0,8638	-0,5039	0,0003	0,0002	img_PilotCamera_Segmentation_1580755336948.jpg,img_FrontCenter_Segmentation_1580755336958.jpg
1580755337009	1,9807	0,5770	-8,8000	1,0000	-0,0025	0,0013	0,0012	1,9800	-1,0970	-9,8000	0,8697	-0,4935	0,0003	0,0002	img_PilotCamera_Segmentation_1580755336998.jpg,img_FrontCenter_Segmentation_1580755337009.jpg
1580755337060	1,9807	0,4780	-8,8000	1,0000	-0,0024	0,0012	0,0011	1,9800	-1,0970	-9,8000	0,8764	-0,4817	0,0003	0,0002	img_PilotCamera_Segmentation_1580755337052.jpg,img_FrontCenter_Segmentation_1580755337060.jpg
1580755337111	1,9807	0,3810	-8,8000	1,0000	-0,0024	0,0012	0,0011	1,9800	-1,0970	-9,8000	0,8833	-0,4688	0,0003	0,0002	img_PilotCamera_Segmentation_1580755337102.jpg,img_FrontCenter_Segmentation_1580755337111.jpg
1580755337166	1,9807	0,2738	-8,8000	1,0000	-0,0023	0,0012	0,0011	1,9800	-1,0970	-9,8000	0,8914	-0,4531	0,0003	0,0002	img_PilotCamera_Segmentation_1580755337157.jpg,img_FrontCenter_Segmentation_1580755337166.jpg
1580755337219	1,9807	0,1691	-8,8000	1,0000	-0,0022	0,0012	0,0010	1,9800	-1,0970	-9,8000	0,8999	-0,4360	0,0003	0,0002	img_PilotCamera_Segmentation_1580755337208.jpg,img_FrontCenter_Segmentation_1580755337219.jpg
1580755337268	1,9807	0,0542	-8,8000	1,0000	-0,0022	0,0011	0,0010	1,9801	-1,0970	-9,8000	0,9099	-0,4148	0,0003	0,0001	img_PilotCamera_Segmentation_1580755337256.jpg,img_FrontCenter_Segmentation_1580755337268.jpg
1580755337313	1,9804	0,0224	-8,7998	1,0000	0,0095	0,0008	0,0028	1,9799	-1,0970	-9,7998	0,9127	-0,4085	0,0002	0,0001	img_PilotCamera_Segmentation_1580755337309.jpg,img_FrontCenter_Segmentation_1580755337313.jpg
