Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580755585719	4,5953	1,5700	-3,5741	1,0000	0,0000	0,0000	0,0000	4,5953	-1,0970	-4,5741	0,8219	-0,5696	0,0000	0,0000	img_PilotCamera_Segmentation_1580755585632.jpg,img_FrontCenter_Segmentation_1580755585719.jpg
1580755585805	4,5953	1,4223	-3,5741	1,0000	0,0000	0,0000	0,0000	4,5953	-1,0970	-4,5741	0,8273	-0,5617	0,0000	0,0000	img_PilotCamera_Segmentation_1580755585789.jpg,img_FrontCenter_Segmentation_1580755585805.jpg
1580755585854	4,5953	1,3597	-3,5741	1,0000	0,0000	0,0000	0,0000	4,5953	-1,0970	-4,5741	0,8298	-0,5581	0,0000	0,0000	img_PilotCamera_Segmentation_1580755585838.jpg,img_FrontCenter_Segmentation_1580755585854.jpg
1580755585907	4,5953	1,3089	-3,5741	1,0000	0,0000	0,0000	0,0000	4,5953	-1,0970	-4,5741	0,8318	-0,5551	0,0000	0,0000	img_PilotCamera_Segmentation_1580755585893.jpg,img_FrontCenter_Segmentation_1580755585907.jpg
1580755585961	4,5953	1,2528	-3,5741	1,0000	0,0000	0,0000	0,0000	4,5953	-1,0970	-4,5741	0,8341	-0,5516	0,0000	0,0000	img_PilotCamera_Segmentation_1580755585947.jpg,img_FrontCenter_Segmentation_1580755585961.jpg
1580755586013	4,5953	1,1915	-3,5741	1,0000	0,0000	0,0000	0,0000	4,5953	-1,0970	-4,5741	0,8368	-0,5475	0,0000	0,0000	img_PilotCamera_Segmentation_1580755586001.jpg,img_FrontCenter_Segmentation_1580755586013.jpg
1580755586064	4,5953	1,1088	-3,5741	1,0000	0,0000	0,0000	0,0000	4,5953	-1,0970	-4,5741	0,8405	-0,5418	0,0000	0,0000	img_PilotCamera_Segmentation_1580755586051.jpg,img_FrontCenter_Segmentation_1580755586064.jpg
1580755586115	4,5953	1,0362	-3,5741	1,0000	0,0000	0,0000	0,0000	4,5953	-1,0970	-4,5741	0,8439	-0,5364	0,0000	0,0000	img_PilotCamera_Segmentation_1580755586101.jpg,img_FrontCenter_Segmentation_1580755586115.jpg
1580755586166	4,5953	0,9587	-3,5741	1,0000	0,0000	0,0000	0,0000	4,5953	-1,0970	-4,5741	0,8478	-0,5304	0,0000	0,0000	img_PilotCamera_Segmentation_1580755586154.jpg,img_FrontCenter_Segmentation_1580755586166.jpg
1580755586217	4,5953	0,8763	-3,5741	1,0000	0,0000	0,0000	0,0000	4,5953	-1,0970	-4,5741	0,8521	-0,5234	0,0000	0,0000	img_PilotCamera_Segmentation_1580755586204.jpg,img_FrontCenter_Segmentation_1580755586217.jpg
1580755586270	4,5953	0,7946	-3,5741	1,0000	0,0000	0,0000	0,0000	4,5953	-1,0970	-4,5741	0,8566	-0,5161	0,0000	0,0000	img_PilotCamera_Segmentation_1580755586257.jpg,img_FrontCenter_Segmentation_1580755586270.jpg
1580755586320	4,5953	0,7032	-3,5741	1,0000	0,0000	0,0000	0,0000	4,5953	-1,0970	-4,5741	0,8619	-0,5071	0,0000	0,0000	img_PilotCamera_Segmentation_1580755586307.jpg,img_FrontCenter_Segmentation_1580755586320.jpg
1580755586370	4,5953	0,6131	-3,5741	1,0000	0,0000	0,0000	0,0000	4,5953	-1,0970	-4,5741	0,8674	-0,4976	0,0000	0,0000	img_PilotCamera_Segmentation_1580755586357.jpg,img_FrontCenter_Segmentation_1580755586370.jpg
1580755586421	4,5953	0,5071	-3,5741	1,0000	0,0000	0,0000	0,0000	4,5953	-1,0970	-4,5741	0,8744	-0,4853	0,0000	0,0000	img_PilotCamera_Segmentation_1580755586409.jpg,img_FrontCenter_Segmentation_1580755586421.jpg
1580755586477	4,5953	0,4088	-3,5741	1,0000	0,0000	0,0000	0,0000	4,5953	-1,0970	-4,5741	0,8813	-0,4726	0,0000	0,0000	img_PilotCamera_Segmentation_1580755586464.jpg,img_FrontCenter_Segmentation_1580755586477.jpg
1580755586527	4,5953	0,3004	-3,5741	1,0000	0,0000	0,0000	0,0000	4,5953	-1,0970	-4,5741	0,8894	-0,4572	0,0000	0,0000	img_PilotCamera_Segmentation_1580755586515.jpg,img_FrontCenter_Segmentation_1580755586527.jpg
1580755586580	4,5953	0,1947	-3,5741	1,0000	0,0000	0,0000	0,0000	4,5953	-1,0970	-4,5741	0,8978	-0,4404	0,0000	0,0000	img_PilotCamera_Segmentation_1580755586567.jpg,img_FrontCenter_Segmentation_1580755586580.jpg
1580755586632	4,5951	0,1489	-3,5742	1,0000	-0,0029	-0,0008	0,0085	4,5956	-1,0970	-4,5742	0,9017	-0,4325	-0,0002	-0,0001	img_PilotCamera_Segmentation_1580755586621.jpg,img_FrontCenter_Segmentation_1580755586632.jpg
1580755586682	4,5951	0,1488	-3,5742	1,0000	-0,0029	-0,0008	0,0083	4,5956	-1,0970	-4,5742	0,9017	-0,4325	-0,0002	-0,0001	img_PilotCamera_Segmentation_1580755586675.jpg,img_FrontCenter_Segmentation_1580755586682.jpg
1580755586738	4,5951	0,1488	-3,5742	1,0000	-0,0028	-0,0008	0,0081	4,5956	-1,0970	-4,5742	0,9017	-0,4324	-0,0002	-0,0001	img_PilotCamera_Segmentation_1580755586728.jpg,img_FrontCenter_Segmentation_1580755586738.jpg
1580755586793	4,5951	0,1488	-3,5742	1,0000	-0,0027	-0,0007	0,0079	4,5955	-1,0970	-4,5742	0,9017	-0,4324	-0,0002	-0,0001	img_PilotCamera_Segmentation_1580755586782.jpg,img_FrontCenter_Segmentation_1580755586793.jpg
1580755586849	4,5951	0,1487	-3,5742	1,0000	-0,0026	-0,0007	0,0076	4,5955	-1,0970	-4,5742	0,9017	-0,4324	-0,0002	-0,0001	img_PilotCamera_Segmentation_1580755586837.jpg,img_FrontCenter_Segmentation_1580755586849.jpg
1580755586903	4,5951	0,1487	-3,5742	1,0000	-0,0026	-0,0007	0,0074	4,5955	-1,0970	-4,5742	0,9017	-0,4324	-0,0002	-0,0001	img_PilotCamera_Segmentation_1580755586889.jpg,img_FrontCenter_Segmentation_1580755586903.jpg
1580755586956	4,5951	0,1486	-3,5742	1,0000	-0,0025	-0,0007	0,0073	4,5955	-1,0970	-4,5742	0,9017	-0,4324	-0,0002	-0,0001	img_PilotCamera_Segmentation_1580755586943.jpg,img_FrontCenter_Segmentation_1580755586956.jpg
1580755587010	4,5951	0,1486	-3,5742	1,0000	-0,0024	-0,0007	0,0071	4,5955	-1,0970	-4,5742	0,9017	-0,4324	-0,0002	-0,0001	img_PilotCamera_Segmentation_1580755586997.jpg,img_FrontCenter_Segmentation_1580755587010.jpg
1580755587066	4,5951	0,1486	-3,5742	1,0000	-0,0024	-0,0006	0,0068	4,5955	-1,0970	-4,5742	0,9017	-0,4324	-0,0002	-0,0001	img_PilotCamera_Segmentation_1580755587054.jpg,img_FrontCenter_Segmentation_1580755587066.jpg
1580755587119	4,5951	0,1485	-3,5742	1,0000	-0,0023	-0,0006	0,0067	4,5955	-1,0970	-4,5742	0,9017	-0,4324	-0,0002	-0,0001	img_PilotCamera_Segmentation_1580755587106.jpg,img_FrontCenter_Segmentation_1580755587119.jpg
1580755587172	4,5951	0,1485	-3,5742	1,0000	-0,0023	-0,0006	0,0065	4,5955	-1,0970	-4,5742	0,9017	-0,4324	-0,0002	-0,0001	img_PilotCamera_Segmentation_1580755587160.jpg,img_FrontCenter_Segmentation_1580755587172.jpg
1580755587225	4,5951	0,1485	-3,5742	1,0000	-0,0022	-0,0006	0,0063	4,5955	-1,0970	-4,5742	0,9017	-0,4324	-0,0002	-0,0001	img_PilotCamera_Segmentation_1580755587211.jpg,img_FrontCenter_Segmentation_1580755587225.jpg
1580755587274	4,5951	0,1484	-3,5742	1,0000	-0,0021	-0,0006	0,0062	4,5955	-1,0970	-4,5742	0,9017	-0,4324	-0,0002	-0,0001	img_PilotCamera_Segmentation_1580755587261.jpg,img_FrontCenter_Segmentation_1580755587274.jpg
1580755587329	4,5951	0,1484	-3,5742	1,0000	-0,0021	-0,0006	0,0060	4,5955	-1,0970	-4,5742	0,9017	-0,4324	-0,0002	-0,0001	img_PilotCamera_Segmentation_1580755587316.jpg,img_FrontCenter_Segmentation_1580755587329.jpg
1580755587378	4,5952	0,1484	-3,5742	1,0000	-0,0020	-0,0006	0,0059	4,5955	-1,0970	-4,5742	0,9017	-0,4324	-0,0002	-0,0001	img_PilotCamera_Segmentation_1580755587368.jpg,img_FrontCenter_Segmentation_1580755587378.jpg
1580755587431	4,5952	0,1490	-3,5742	1,0000	-0,0020	-0,0005	0,0057	4,5955	-1,0970	-4,5742	0,9016	-0,4325	-0,0001	-0,0001	img_PilotCamera_Segmentation_1580755587419.jpg,img_FrontCenter_Segmentation_1580755587431.jpg
1580755587486	4,5952	0,1541	-3,5742	1,0000	-0,0019	-0,0005	0,0055	4,5955	-1,0970	-4,5742	0,9012	-0,4334	-0,0001	-0,0001	img_PilotCamera_Segmentation_1580755587472.jpg,img_FrontCenter_Segmentation_1580755587486.jpg
1580755587542	4,5952	0,1626	-3,5742	1,0000	-0,0019	-0,0005	0,0054	4,5955	-1,0970	-4,5742	0,9005	-0,4349	-0,0001	-0,0001	img_PilotCamera_Segmentation_1580755587527.jpg,img_FrontCenter_Segmentation_1580755587542.jpg
1580755587593	4,5952	0,1750	-3,5742	1,0000	-0,0018	-0,0005	0,0053	4,5955	-1,0970	-4,5742	0,8995	-0,4370	-0,0001	-0,0001	img_PilotCamera_Segmentation_1580755587583.jpg,img_FrontCenter_Segmentation_1580755587593.jpg
1580755587647	4,5952	0,1935	-3,5742	1,0000	-0,0018	-0,0005	0,0051	4,5955	-1,0970	-4,5742	0,8979	-0,4402	-0,0001	-0,0001	img_PilotCamera_Segmentation_1580755587635.jpg,img_FrontCenter_Segmentation_1580755587647.jpg
1580755587699	4,5952	0,2212	-3,5742	1,0000	-0,0017	-0,0005	0,0050	4,5955	-1,0970	-4,5742	0,8957	-0,4448	-0,0001	-0,0001	img_PilotCamera_Segmentation_1580755587687.jpg,img_FrontCenter_Segmentation_1580755587699.jpg
1580755587754	4,5952	0,2467	-3,5742	1,0000	-0,0017	-0,0004	0,0048	4,5955	-1,0970	-4,5742	0,8936	-0,4489	-0,0001	-0,0001	img_PilotCamera_Segmentation_1580755587742.jpg,img_FrontCenter_Segmentation_1580755587754.jpg
1580755587806	4,5952	0,2783	-3,5742	1,0000	-0,0016	0,0007	0,0047	4,5948	-1,0970	-4,5742	0,8911	-0,4538	0,0002	0,0001	img_PilotCamera_Segmentation_1580755587794.jpg,img_FrontCenter_Segmentation_1580755587806.jpg
