Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580756213712	-9,9628	3,4762	2,8775	1,0000	0,0000	0,0000	0,0000	-9,9628	-1,0970	1,8775	0,7790	-0,6270	0,0000	0,0000	img_PilotCamera_Segmentation_1580756213627.jpg,img_FrontCenter_Segmentation_1580756213712.jpg
1580756213769	-9,9628	3,3213	2,8775	1,0000	0,0000	0,0000	0,0000	-9,9628	-1,1408	1,8775	0,7806	-0,6250	0,0000	0,0000	img_PilotCamera_Segmentation_1580756213760.jpg,img_FrontCenter_Segmentation_1580756213769.jpg
1580756213829	-9,9628	3,2771	2,8775	1,0000	0,0000	0,0000	0,0000	-9,9628	-1,1408	1,8775	0,7813	-0,6242	0,0000	0,0000	img_PilotCamera_Segmentation_1580756213815.jpg,img_FrontCenter_Segmentation_1580756213829.jpg
1580756213879	-9,9628	3,2276	2,8775	1,0000	0,0000	0,0000	0,0000	-9,9628	-1,1408	1,8775	0,7820	-0,6232	0,0000	0,0000	img_PilotCamera_Segmentation_1580756213867.jpg,img_FrontCenter_Segmentation_1580756213879.jpg
1580756213927	-9,9628	3,1761	2,8775	1,0000	0,0000	0,0000	0,0000	-9,9628	-1,1408	1,8775	0,7828	-0,6222	0,0000	0,0000	img_PilotCamera_Segmentation_1580756213915.jpg,img_FrontCenter_Segmentation_1580756213927.jpg
1580756213977	-9,9628	3,1126	2,8775	1,0000	0,0000	0,0000	0,0000	-9,9628	-1,1408	1,8775	0,7839	-0,6209	0,0000	0,0000	img_PilotCamera_Segmentation_1580756213965.jpg,img_FrontCenter_Segmentation_1580756213977.jpg
1580756214032	-9,9628	3,0514	2,8775	1,0000	0,0000	0,0000	0,0000	-9,9628	-1,1408	1,8775	0,7849	-0,6197	0,0000	0,0000	img_PilotCamera_Segmentation_1580756214017.jpg,img_FrontCenter_Segmentation_1580756214032.jpg
1580756214083	-9,9628	2,9857	2,8775	1,0000	0,0000	0,0000	0,0000	-9,9628	-1,1408	1,8775	0,7860	-0,6183	0,0000	0,0000	img_PilotCamera_Segmentation_1580756214071.jpg,img_FrontCenter_Segmentation_1580756214083.jpg
1580756214137	-9,9628	2,9065	2,8775	1,0000	0,0000	0,0000	0,0000	-9,9628	-1,1408	1,8775	0,7874	-0,6165	0,0000	0,0000	img_PilotCamera_Segmentation_1580756214125.jpg,img_FrontCenter_Segmentation_1580756214137.jpg
1580756214188	-9,9628	2,8316	2,8775	1,0000	0,0000	0,0000	0,0000	-9,9628	-1,1408	1,8775	0,7887	-0,6148	0,0000	0,0000	img_PilotCamera_Segmentation_1580756214175.jpg,img_FrontCenter_Segmentation_1580756214188.jpg
