Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580756593734	-6,7146	-0,3320	2,8012	1,0000	0,0000	0,0000	0,0000	-6,7146	-1,0970	1,8012	0,9472	-0,3208	0,0000	0,0000	img_PilotCamera_Segmentation_1580756593632.jpg,img_FrontCenter_Segmentation_1580756593734.jpg
1580756593876	-6,7146	-0,4918	2,8012	1,0000	0,0000	0,0000	0,0000	-6,7146	-1,0970	1,8012	0,9632	-0,2688	0,0000	0,0000	img_PilotCamera_Segmentation_1580756593862.jpg,img_FrontCenter_Segmentation_1580756593876.jpg
1580756593892	-6,7146	-0,5338	2,8012	1,0000	0,0000	0,0000	0,0000	-6,7146	-1,0970	1,8012	0,9673	-0,2536	0,0000	0,0000	img_PilotCamera_Segmentation_1580756593884.jpg,img_FrontCenter_Segmentation_1580756593892.jpg
1580756593951	-6,7146	-0,6457	2,8012	1,0000	0,0000	0,0000	0,0000	-6,7146	-1,0970	1,8012	0,9776	-0,2104	0,0000	0,0000	img_PilotCamera_Segmentation_1580756593935.jpg,img_FrontCenter_Segmentation_1580756593951.jpg
1580756594006	-6,7146	-0,7104	2,8012	1,0000	0,0000	0,0000	0,0000	-6,7146	-1,0970	1,8012	0,9830	-0,1834	0,0000	0,0000	img_PilotCamera_Segmentation_1580756593990.jpg,img_FrontCenter_Segmentation_1580756594006.jpg
1580756594057	-6,7146	-0,7768	2,8012	1,0000	0,0000	0,0000	0,0000	-6,7146	-1,0970	1,8012	0,9880	-0,1543	0,0000	0,0000	img_PilotCamera_Segmentation_1580756594044.jpg,img_FrontCenter_Segmentation_1580756594057.jpg
1580756594110	-6,7146	-0,8482	2,8012	1,0000	0,0000	0,0000	0,0000	-6,7146	-1,0970	1,8012	0,9926	-0,1216	0,0000	0,0000	img_PilotCamera_Segmentation_1580756594096.jpg,img_FrontCenter_Segmentation_1580756594110.jpg
1580756594164	-6,7146	-0,9107	2,8012	1,0000	0,0000	0,0000	0,0000	-6,7146	-1,0970	1,8012	0,9958	-0,0920	0,0000	0,0000	img_PilotCamera_Segmentation_1580756594151.jpg,img_FrontCenter_Segmentation_1580756594164.jpg
1580756594213	-6,7146	-1,0206	2,8012	1,0000	0,0000	0,0000	0,0000	-6,7146	-1,0970	1,8012	0,9993	-0,0381	0,0000	0,0000	img_PilotCamera_Segmentation_1580756594203.jpg,img_FrontCenter_Segmentation_1580756594213.jpg
1580756594264	-6,7146	-1,1126	2,8012	1,0000	0,0000	0,0000	0,0000	-6,7146	-1,0970	1,8012	1,0000	0,0078	0,0000	0,0000	img_PilotCamera_Segmentation_1580756594250.jpg,img_FrontCenter_Segmentation_1580756594264.jpg
