Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580757455571	-7,9949	3,5800	-4,5857	1,0000	0,0000	0,0000	0,0000	-7,9949	-1,0970	-5,5857	0,7775	-0,6289	0,0000	0,0000	img_PilotCamera_Segmentation_1580757455494.jpg,img_FrontCenter_Segmentation_1580757455571.jpg
1580757455703	-7,9949	3,4529	-4,5857	1,0000	0,0000	0,0000	0,0000	-7,9949	-1,0970	-5,5857	0,7793	-0,6266	0,0000	0,0000	img_PilotCamera_Segmentation_1580757455642.jpg,img_FrontCenter_Segmentation_1580757455703.jpg
1580757455719	-7,9949	3,4151	-4,5857	1,0000	0,0000	0,0000	0,0000	-7,9949	-1,0970	-5,5857	0,7799	-0,6259	0,0000	0,0000	img_PilotCamera_Segmentation_1580757455712.jpg,img_FrontCenter_Segmentation_1580757455719.jpg
1580757455776	-7,9949	3,3061	-4,5857	1,0000	0,0000	0,0000	0,0000	-7,9949	-1,0970	-5,5857	0,7815	-0,6239	0,0000	0,0000	img_PilotCamera_Segmentation_1580757455764.jpg,img_FrontCenter_Segmentation_1580757455776.jpg
1580757455831	-7,9949	3,2524	-4,5857	1,0000	0,0000	0,0000	0,0000	-7,9949	-1,0970	-5,5857	0,7823	-0,6229	0,0000	0,0000	img_PilotCamera_Segmentation_1580757455819.jpg,img_FrontCenter_Segmentation_1580757455831.jpg
1580757455879	-7,9949	3,1863	-4,5857	1,0000	0,0000	0,0000	0,0000	-7,9949	-1,0970	-5,5857	0,7834	-0,6216	0,0000	0,0000	img_PilotCamera_Segmentation_1580757455871.jpg,img_FrontCenter_Segmentation_1580757455879.jpg
1580757455933	-7,9949	3,1187	-4,5857	1,0000	0,0000	0,0000	0,0000	-7,9949	-1,0970	-5,5857	0,7845	-0,6202	0,0000	0,0000	img_PilotCamera_Segmentation_1580757455922.jpg,img_FrontCenter_Segmentation_1580757455933.jpg
1580757455984	-7,9949	3,0461	-4,5857	1,0000	0,0000	0,0000	0,0000	-7,9949	-1,0970	-5,5857	0,7857	-0,6186	0,0000	0,0000	img_PilotCamera_Segmentation_1580757455974.jpg,img_FrontCenter_Segmentation_1580757455984.jpg
1580757456040	-7,9949	2,9686	-4,5857	1,0000	0,0000	0,0000	0,0000	-7,9949	-1,0970	-5,5857	0,7870	-0,6169	0,0000	0,0000	img_PilotCamera_Segmentation_1580757456029.jpg,img_FrontCenter_Segmentation_1580757456040.jpg
1580757456092	-7,9949	2,8662	-4,5857	1,0000	0,0000	0,0000	0,0000	-7,9949	-1,0970	-5,5857	0,7889	-0,6146	0,0000	0,0000	img_PilotCamera_Segmentation_1580757456080.jpg,img_FrontCenter_Segmentation_1580757456092.jpg
