Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581107537333	-2,3279	1,0458	-15,7200	1,0000	0,0000	0,0000	0,0000	-2,3279	-1,0970	-16,7200	0,8435	-0,5372	0,0000	0,0000	img_PilotCamera_Segmentation_1581107537254.jpg,img_FrontCenter_Segmentation_1581107537333.jpg
1581107537395	-2,3277	0,8974	-15,7200	1,0000	-0,0003	0,0001	-0,0033	-2,3277	-1,0970	-16,7200	0,8509	-0,5253	0,0000	0,0000	img_PilotCamera_Segmentation_1581107537384.jpg,img_FrontCenter_Segmentation_1581107537395.jpg
1581107537456	-2,3277	0,8569	-15,7200	1,0000	-0,0003	0,0001	-0,0032	-2,3278	-1,0970	-16,7200	0,8531	-0,5217	0,0000	0,0000	img_PilotCamera_Segmentation_1581107537445.jpg,img_FrontCenter_Segmentation_1581107537456.jpg
1581107537506	-2,3277	0,8086	-15,7200	1,0000	-0,0003	0,0001	-0,0031	-2,3278	-1,0970	-16,7200	0,8558	-0,5174	0,0000	0,0000	img_PilotCamera_Segmentation_1581107537492.jpg,img_FrontCenter_Segmentation_1581107537506.jpg
1581107537558	-2,3277	0,7517	-15,7200	1,0000	-0,0003	0,0001	-0,0030	-2,3278	-1,0970	-16,7200	0,8590	-0,5120	0,0000	0,0000	img_PilotCamera_Segmentation_1581107537547.jpg,img_FrontCenter_Segmentation_1581107537558.jpg
1581107537610	-2,3277	0,6998	-15,7200	1,0000	-0,0003	0,0001	-0,0029	-2,3278	-1,0970	-16,7200	0,8621	-0,5068	0,0000	0,0000	img_PilotCamera_Segmentation_1581107537597.jpg,img_FrontCenter_Segmentation_1581107537610.jpg
1581107537660	-2,3277	0,6362	-15,7200	1,0000	-0,0003	0,0001	-0,0029	-2,3278	-1,0970	-16,7200	0,8660	-0,5001	0,0000	0,0000	img_PilotCamera_Segmentation_1581107537647.jpg,img_FrontCenter_Segmentation_1581107537660.jpg
1581107537716	-2,3277	0,5462	-15,7200	1,0000	-0,0002	0,0001	-0,0028	-2,3278	-1,0970	-16,7200	0,8717	-0,4900	0,0000	0,0000	img_PilotCamera_Segmentation_1581107537702.jpg,img_FrontCenter_Segmentation_1581107537716.jpg
1581107537770	-2,3277	0,4710	-15,7200	1,0000	-0,0002	0,0001	-0,0027	-2,3278	-1,0970	-16,7200	0,8768	-0,4808	0,0000	0,0000	img_PilotCamera_Segmentation_1581107537758.jpg,img_FrontCenter_Segmentation_1581107537770.jpg
1581107537820	-2,3277	0,3958	-15,7200	1,0000	-0,0002	0,0001	-0,0026	-2,3278	-1,0970	-16,7200	0,8822	-0,4709	0,0000	0,0000	img_PilotCamera_Segmentation_1581107537807.jpg,img_FrontCenter_Segmentation_1581107537820.jpg
1581107537874	-2,3277	0,3113	-15,7200	1,0000	-0,0002	0,0001	-0,0026	-2,3278	-1,0970	-16,7200	0,8885	-0,4588	0,0000	0,0000	img_PilotCamera_Segmentation_1581107537863.jpg,img_FrontCenter_Segmentation_1581107537874.jpg
1581107537933	-2,3277	0,1950	-15,7200	1,0000	-0,0002	0,0001	-0,0025	-2,3278	-1,0970	-16,7200	0,8978	-0,4404	0,0000	0,0000	img_PilotCamera_Segmentation_1581107537918.jpg,img_FrontCenter_Segmentation_1581107537933.jpg
1581107537982	-2,3277	0,0942	-15,7200	1,0000	-0,0002	0,0001	-0,0024	-2,3278	-1,0970	-16,7200	0,9064	-0,4225	0,0000	0,0000	img_PilotCamera_Segmentation_1581107537971.jpg,img_FrontCenter_Segmentation_1581107537982.jpg
1581107538032	-2,3277	0,0005	-15,7200	1,0000	-0,0002	0,0001	-0,0024	-2,3278	-1,0970	-16,7200	0,9147	-0,4040	0,0000	0,0000	img_PilotCamera_Segmentation_1581107538020.jpg,img_FrontCenter_Segmentation_1581107538032.jpg
1581107538084	-2,3277	-0,0909	-15,7200	1,0000	-0,0002	0,0001	-0,0023	-2,3278	-1,0970	-16,7200	0,9233	-0,3841	0,0000	0,0000	img_PilotCamera_Segmentation_1581107538074.jpg,img_FrontCenter_Segmentation_1581107538084.jpg
