Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581108602859	12,7244	0,0888	0,2615	1,0000	0,0000	0,0000	0,0000	12,7244	-1,0970	-0,7385	0,9068	-0,4215	0,0000	0,0000	img_PilotCamera_Segmentation_1581108602787.jpg,img_FrontCenter_Segmentation_1581108602859.jpg
1581108602966	12,7244	-0,0450	0,2615	1,0000	0,0000	0,0000	0,0000	12,7244	-1,0970	-0,7385	0,9190	-0,3944	0,0000	0,0000	img_PilotCamera_Segmentation_1581108602933.jpg,img_FrontCenter_Segmentation_1581108602966.jpg
1581108602998	12,7244	-0,1215	0,2615	1,0000	0,0000	0,0000	0,0000	12,7244	-1,0970	-0,7385	0,9262	-0,3769	0,0000	0,0000	img_PilotCamera_Segmentation_1581108602990.jpg,img_FrontCenter_Segmentation_1581108602998.jpg
1581108603047	12,7244	-0,1723	0,2615	1,0000	0,0000	0,0000	0,0000	12,7244	-1,0970	-0,7385	0,9312	-0,3645	0,0000	0,0000	img_PilotCamera_Segmentation_1581108603041.jpg,img_FrontCenter_Segmentation_1581108603047.jpg
1581108603096	12,7244	-0,2250	0,2615	1,0000	0,0000	0,0000	0,0000	12,7244	-1,0970	-0,7385	0,9364	-0,3509	0,0000	0,0000	img_PilotCamera_Segmentation_1581108603090.jpg,img_FrontCenter_Segmentation_1581108603096.jpg
1581108603153	12,7244	-0,2859	0,2615	1,0000	0,0000	0,0000	0,0000	12,7244	-1,0970	-0,7385	0,9425	-0,3342	0,0000	0,0000	img_PilotCamera_Segmentation_1581108603146.jpg,img_FrontCenter_Segmentation_1581108603153.jpg
1581108603206	12,7244	-0,3520	0,2615	1,0000	0,0000	0,0000	0,0000	12,7244	-1,0970	-0,7385	0,9492	-0,3147	0,0000	0,0000	img_PilotCamera_Segmentation_1581108603198.jpg,img_FrontCenter_Segmentation_1581108603206.jpg
1581108603261	12,7244	-0,4188	0,2615	1,0000	0,0000	0,0000	0,0000	12,7244	-1,0970	-0,7385	0,9559	-0,2936	0,0000	0,0000	img_PilotCamera_Segmentation_1581108603255.jpg,img_FrontCenter_Segmentation_1581108603261.jpg
1581108603313	12,7244	-0,5225	0,2615	1,0000	0,0000	0,0000	0,0000	12,7244	-1,0970	-0,7385	0,9662	-0,2578	0,0000	0,0000	img_PilotCamera_Segmentation_1581108603308.jpg,img_FrontCenter_Segmentation_1581108603313.jpg
1581108603367	12,7244	-0,6148	0,2615	1,0000	0,0000	0,0000	0,0000	12,7244	-1,0970	-0,7385	0,9749	-0,2227	0,0000	0,0000	img_PilotCamera_Segmentation_1581108603360.jpg,img_FrontCenter_Segmentation_1581108603367.jpg
