Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581109283192	0,6309	1,5872	-6,7860	1,0000	0,0000	0,0000	0,0000	0,6309	-1,0970	-7,7860	0,8213	-0,5705	0,0000	0,0000	img_PilotCamera_Segmentation_1581109283134.jpg,img_FrontCenter_Segmentation_1581109283192.jpg
1581109283302	0,6312	1,4640	-6,7821	0,9998	0,0121	-0,0169	-0,0027	0,6414	-1,0970	-7,7820	0,8257	-0,5640	-0,0042	-0,0029	img_PilotCamera_Segmentation_1581109283257.jpg,img_FrontCenter_Segmentation_1581109283302.jpg
1581109283317	0,6312	1,4366	-6,7822	0,9998	0,0118	-0,0165	-0,0026	0,6411	-1,0970	-7,7821	0,8268	-0,5625	-0,0041	-0,0028	img_PilotCamera_Segmentation_1581109283311.jpg,img_FrontCenter_Segmentation_1581109283317.jpg
1581109283367	0,6312	1,3591	-6,7823	0,9998	0,0115	-0,0161	-0,0026	0,6409	-1,0970	-7,7822	0,8298	-0,5581	-0,0040	-0,0027	img_PilotCamera_Segmentation_1581109283360.jpg,img_FrontCenter_Segmentation_1581109283367.jpg
1581109283418	0,6312	1,2966	-6,7824	0,9998	0,0111	-0,0155	-0,0025	0,6405	-1,0970	-7,7824	0,8323	-0,5543	-0,0039	-0,0026	img_PilotCamera_Segmentation_1581109283412.jpg,img_FrontCenter_Segmentation_1581109283418.jpg
1581109283475	0,6312	1,2414	-6,7825	0,9998	0,0108	-0,0152	-0,0024	0,6403	-1,0970	-7,7825	0,8346	-0,5508	-0,0038	-0,0025	img_PilotCamera_Segmentation_1581109283469.jpg,img_FrontCenter_Segmentation_1581109283475.jpg
1581109283527	0,6312	1,1698	-6,7826	0,9998	0,0106	-0,0148	-0,0024	0,6401	-1,0970	-7,7825	0,8377	-0,5461	-0,0037	-0,0024	img_PilotCamera_Segmentation_1581109283522.jpg,img_FrontCenter_Segmentation_1581109283527.jpg
1581109283579	0,6312	1,0963	-6,7827	0,9998	0,0103	-0,0144	-0,0023	0,6398	-1,0970	-7,7826	0,8411	-0,5409	-0,0036	-0,0023	img_PilotCamera_Segmentation_1581109283573.jpg,img_FrontCenter_Segmentation_1581109283579.jpg
1581109283631	0,6312	1,0307	-6,7827	0,9998	0,0101	-0,0141	-0,0023	0,6396	-1,0970	-7,7827	0,8442	-0,5360	-0,0036	-0,0023	img_PilotCamera_Segmentation_1581109283626.jpg,img_FrontCenter_Segmentation_1581109283631.jpg
1581109283685	0,6311	0,9227	-6,7829	0,9999	0,0097	-0,0136	-0,0022	0,6393	-1,0970	-7,7828	0,8496	-0,5274	-0,0035	-0,0022	img_PilotCamera_Segmentation_1581109283680.jpg,img_FrontCenter_Segmentation_1581109283685.jpg
1581109283742	0,6311	0,8425	-6,7829	0,9999	0,0095	-0,0133	-0,0021	0,6391	-1,0970	-7,7829	0,8539	-0,5204	-0,0034	-0,0021	img_PilotCamera_Segmentation_1581109283738.jpg,img_FrontCenter_Segmentation_1581109283742.jpg
1581109283794	0,6311	0,7528	-6,7830	0,9999	0,0092	-0,0129	-0,0021	0,6389	-1,0970	-7,7830	0,8589	-0,5121	-0,0033	-0,0020	img_PilotCamera_Segmentation_1581109283789.jpg,img_FrontCenter_Segmentation_1581109283794.jpg
1581109283846	0,6311	0,6585	-6,7831	0,9999	0,0090	-0,0126	-0,0020	0,6387	-1,0970	-7,7831	0,8646	-0,5025	-0,0033	-0,0019	img_PilotCamera_Segmentation_1581109283840.jpg,img_FrontCenter_Segmentation_1581109283846.jpg
