Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581363922464	-0,2265	1,1440	25,8538	1,0000	0,0000	0,0000	0,0000	-0,2265	-1,0970	24,8538	0,8389	-0,5443	0,0000	0,0000	img_PilotCamera_Segmentation_1581363922440.jpg,img_FrontCenter_Segmentation_1581363922464.jpg
1581363922561	-0,2336	1,0326	25,8460	1,0000	-0,0033	-0,0016	0,0035	-0,2326	-1,0970	24,8460	0,8441	-0,5362	-0,0004	-0,0003	img_PilotCamera_Segmentation_1581363922530.jpg,img_FrontCenter_Segmentation_1581363922561.jpg
1581363922585	-0,2334	1,0245	25,8462	1,0000	-0,0032	-0,0016	0,0034	-0,2324	-1,0970	24,8462	0,8445	-0,5355	-0,0004	-0,0003	img_PilotCamera_Segmentation_1581363922573.jpg,img_FrontCenter_Segmentation_1581363922585.jpg
1581363922656	-0,2332	0,9505	25,8464	1,0000	-0,0031	-0,0016	0,0033	-0,2323	-1,0970	24,8464	0,8482	-0,5297	-0,0004	-0,0002	img_PilotCamera_Segmentation_1581363922638.jpg,img_FrontCenter_Segmentation_1581363922656.jpg
1581363922692	-0,2330	0,8841	25,8467	1,0000	-0,0030	-0,0015	0,0032	-0,2321	-1,0970	24,8467	0,8517	-0,5241	-0,0004	-0,0002	img_PilotCamera_Segmentation_1581363922688.jpg,img_FrontCenter_Segmentation_1581363922692.jpg
1581363922744	-0,2328	0,8287	25,8469	1,0000	-0,0030	-0,0015	0,0032	-0,2320	-1,0970	24,8469	0,8546	-0,5192	-0,0004	-0,0002	img_PilotCamera_Segmentation_1581363922741.jpg,img_FrontCenter_Segmentation_1581363922744.jpg
1581363922794	-0,2327	0,7756	25,8470	1,0000	-0,0029	-0,0014	0,0031	-0,2318	-1,0970	24,8470	0,8576	-0,5143	-0,0004	-0,0002	img_PilotCamera_Segmentation_1581363922791.jpg,img_FrontCenter_Segmentation_1581363922794.jpg
1581363922847	-0,2325	0,7065	25,8472	1,0000	-0,0028	-0,0014	0,0030	-0,2317	-1,0970	24,8472	0,8617	-0,5075	-0,0004	-0,0002	img_PilotCamera_Segmentation_1581363922845.jpg,img_FrontCenter_Segmentation_1581363922847.jpg
1581363922901	-0,2324	0,6404	25,8474	1,0000	-0,0028	-0,0014	0,0029	-0,2316	-1,0970	24,8474	0,8657	-0,5006	-0,0004	-0,0002	img_PilotCamera_Segmentation_1581363922898.jpg,img_FrontCenter_Segmentation_1581363922901.jpg
1581363922955	-0,2322	0,5376	25,8476	1,0000	-0,0027	-0,0013	0,0028	-0,2314	-1,0970	24,8476	0,8723	-0,4889	-0,0003	-0,0002	img_PilotCamera_Segmentation_1581363922952.jpg,img_FrontCenter_Segmentation_1581363922955.jpg
1581363923011	-0,2321	0,4510	25,8477	1,0000	-0,0026	-0,0013	0,0028	-0,2313	-1,0970	24,8477	0,8782	-0,4782	-0,0003	-0,0002	img_PilotCamera_Segmentation_1581363923008.jpg,img_FrontCenter_Segmentation_1581363923011.jpg
1581363923064	-0,2319	0,3788	25,8479	1,0000	-0,0025	-0,0013	0,0027	-0,2312	-1,0970	24,8479	0,8834	-0,4685	-0,0003	-0,0002	img_PilotCamera_Segmentation_1581363923059.jpg,img_FrontCenter_Segmentation_1581363923064.jpg
1581363923118	-0,2318	0,3017	25,8480	1,0000	-0,0025	-0,0012	0,0026	-0,2310	-1,0970	24,8480	0,8893	-0,4574	-0,0003	-0,0002	img_PilotCamera_Segmentation_1581363923115.jpg,img_FrontCenter_Segmentation_1581363923118.jpg
1581363923172	-0,2316	0,2135	25,8482	1,0000	-0,0024	-0,0012	0,0025	-0,2309	-1,0970	24,8482	0,8963	-0,4435	-0,0003	-0,0002	img_PilotCamera_Segmentation_1581363923169.jpg,img_FrontCenter_Segmentation_1581363923172.jpg
1581363923223	-0,2315	0,1477	25,8484	1,0000	-0,0023	-0,0012	0,0025	-0,2308	-1,0970	24,8484	0,9018	-0,4322	-0,0003	-0,0002	img_PilotCamera_Segmentation_1581363923218.jpg,img_FrontCenter_Segmentation_1581363923223.jpg
1581363923277	-0,2314	0,0833	25,8485	1,0000	-0,0023	-0,0011	0,0024	-0,2307	-1,0970	24,8485	0,9073	-0,4205	-0,0003	-0,0001	img_PilotCamera_Segmentation_1581363923275.jpg,img_FrontCenter_Segmentation_1581363923277.jpg
1581363923330	-0,2312	0,0306	25,8486	1,0000	-0,0022	-0,0011	0,0024	-0,2306	-1,0970	24,8486	0,9120	-0,4102	-0,0003	-0,0001	img_PilotCamera_Segmentation_1581363923327.jpg,img_FrontCenter_Segmentation_1581363923330.jpg
1581363923383	-0,2311	-0,0207	25,8487	1,0000	-0,0022	-0,0011	0,0023	-0,2305	-1,0970	24,8487	0,9167	-0,3996	-0,0003	-0,0001	img_PilotCamera_Segmentation_1581363923380.jpg,img_FrontCenter_Segmentation_1581363923383.jpg
1581363923439	-0,2310	-0,0648	25,8489	1,0000	-0,0021	-0,0010	0,0022	-0,2304	-1,0970	24,8489	0,9208	-0,3900	-0,0003	-0,0001	img_PilotCamera_Segmentation_1581363923436.jpg,img_FrontCenter_Segmentation_1581363923439.jpg
1581363923494	-0,2309	-0,1209	25,8490	1,0000	-0,0020	-0,0010	0,0022	-0,2303	-1,0970	24,8490	0,9262	-0,3771	-0,0003	-0,0001	img_PilotCamera_Segmentation_1581363923492.jpg,img_FrontCenter_Segmentation_1581363923494.jpg
1581363923548	-0,2308	-0,1530	25,8492	1,0000	-0,0020	-0,0010	0,0021	-0,2302	-1,0970	24,8492	0,9293	-0,3693	-0,0003	-0,0001	img_PilotCamera_Segmentation_1581363923546.jpg,img_FrontCenter_Segmentation_1581363923548.jpg
1581363923602	-0,2306	-0,1869	25,8493	1,0000	-0,0019	-0,0010	0,0021	-0,2301	-1,0970	24,8493	0,9326	-0,3609	-0,0003	-0,0001	img_PilotCamera_Segmentation_1581363923599.jpg,img_FrontCenter_Segmentation_1581363923602.jpg
1581363923652	-0,2305	-0,2143	25,8494	1,0000	-0,0019	-0,0009	0,0020	-0,2300	-1,0970	24,8494	0,9353	-0,3538	-0,0003	-0,0001	img_PilotCamera_Segmentation_1581363923650.jpg,img_FrontCenter_Segmentation_1581363923652.jpg
1581363923706	-0,2304	-0,2372	25,8495	1,0000	-0,0018	-0,0009	0,0020	-0,2299	-1,0970	24,8495	0,9376	-0,3477	-0,0003	-0,0001	img_PilotCamera_Segmentation_1581363923703.jpg,img_FrontCenter_Segmentation_1581363923706.jpg
1581363923762	-0,2303	-0,2604	25,8496	1,0000	-0,0018	-0,0009	0,0019	-0,2298	-1,0970	24,8496	0,9399	-0,3413	-0,0002	-0,0001	img_PilotCamera_Segmentation_1581363923759.jpg,img_FrontCenter_Segmentation_1581363923762.jpg
