Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581448239934	4,5714	5,0290	0,4281	1,0000	0,0000	0,0000	0,0000	4,5714	-1,0970	-0,5719	0,7619	-0,6476	0,0000	0,0000	img_PilotCamera_Segmentation_1581448239888.jpg,img_FrontCenter_Segmentation_1581448239934.jpg
1581448240087	4,5714	4,9149	0,4281	1,0000	0,0000	0,0000	0,0000	4,5714	-1,0970	-0,5719	0,7629	-0,6465	0,0000	0,0000	img_PilotCamera_Segmentation_1581448240017.jpg,img_FrontCenter_Segmentation_1581448240087.jpg
1581448240123	4,5714	4,8953	0,4281	1,0000	0,0000	0,0000	0,0000	4,5714	-1,0970	-0,5719	0,7631	-0,6463	0,0000	0,0000	img_PilotCamera_Segmentation_1581448240100.jpg,img_FrontCenter_Segmentation_1581448240123.jpg
1581448240157	4,5714	4,7711	0,4281	1,0000	0,0000	0,0000	0,0000	4,5714	-1,0970	-0,5719	0,7642	-0,6450	0,0000	0,0000	img_PilotCamera_Segmentation_1581448240153.jpg,img_FrontCenter_Segmentation_1581448240157.jpg
1581448240214	4,5714	4,6944	0,4281	1,0000	0,0000	0,0000	0,0000	4,5714	-1,0970	-0,5719	0,7649	-0,6441	0,0000	0,0000	img_PilotCamera_Segmentation_1581448240207.jpg,img_FrontCenter_Segmentation_1581448240214.jpg
1581448240262	4,5714	4,6316	0,4281	1,0000	0,0000	0,0000	0,0000	4,5714	-1,0970	-0,5719	0,7655	-0,6434	0,0000	0,0000	img_PilotCamera_Segmentation_1581448240257.jpg,img_FrontCenter_Segmentation_1581448240262.jpg
1581448240315	4,5714	4,5678	0,4281	1,0000	0,0000	0,0000	0,0000	4,5714	-1,0970	-0,5719	0,7661	-0,6427	0,0000	0,0000	img_PilotCamera_Segmentation_1581448240310.jpg,img_FrontCenter_Segmentation_1581448240315.jpg
1581448240367	4,5714	4,4908	0,4281	1,0000	0,0000	0,0000	0,0000	4,5714	-1,0970	-0,5719	0,7669	-0,6418	0,0000	0,0000	img_PilotCamera_Segmentation_1581448240363.jpg,img_FrontCenter_Segmentation_1581448240367.jpg
1581448240421	4,5714	4,4224	0,4281	1,0000	0,0000	0,0000	0,0000	4,5714	-1,0970	-0,5719	0,7676	-0,6410	0,0000	0,0000	img_PilotCamera_Segmentation_1581448240416.jpg,img_FrontCenter_Segmentation_1581448240421.jpg
1581448240475	4,5714	4,3153	0,4281	1,0000	0,0000	0,0000	0,0000	4,5714	-1,0970	-0,5719	0,7687	-0,6397	0,0000	0,0000	img_PilotCamera_Segmentation_1581448240470.jpg,img_FrontCenter_Segmentation_1581448240475.jpg
1581448240528	4,5714	4,2243	0,4281	1,0000	0,0000	0,0000	0,0000	4,5714	-1,0970	-0,5719	0,7696	-0,6385	0,0000	0,0000	img_PilotCamera_Segmentation_1581448240523.jpg,img_FrontCenter_Segmentation_1581448240528.jpg
1581448240577	4,5714	4,1473	0,4281	1,0000	0,0000	0,0000	0,0000	4,5714	-1,0970	-0,5719	0,7705	-0,6375	0,0000	0,0000	img_PilotCamera_Segmentation_1581448240572.jpg,img_FrontCenter_Segmentation_1581448240577.jpg
1581448240631	4,5714	4,0749	0,4281	1,0000	0,0000	0,0000	0,0000	4,5714	-1,0970	-0,5719	0,7713	-0,6365	0,0000	0,0000	img_PilotCamera_Segmentation_1581448240626.jpg,img_FrontCenter_Segmentation_1581448240631.jpg
