Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581449336547	1,0197	1,5778	3,7778	1,0000	0,0000	0,0000	0,0000	1,0197	-1,0970	2,7778	0,8216	-0,5700	0,0000	0,0000	img_PilotCamera_Segmentation_1581449336487.jpg,img_FrontCenter_Segmentation_1581449336547.jpg
1581449336722	1,0197	1,4573	3,7778	1,0000	0,0000	0,0000	0,0000	1,0197	-1,0970	2,7778	0,8260	-0,5637	0,0000	0,0000	img_PilotCamera_Segmentation_1581449336637.jpg,img_FrontCenter_Segmentation_1581449336722.jpg
1581449336733	1,0197	1,4394	3,7778	1,0000	0,0000	0,0000	0,0000	1,0197	-1,0970	2,7778	0,8267	-0,5627	0,0000	0,0000	img_PilotCamera_Segmentation_1581449336729.jpg,img_FrontCenter_Segmentation_1581449336733.jpg
1581449336788	1,0197	1,2942	3,7778	1,0000	0,0000	0,0000	0,0000	1,0197	-1,0970	2,7778	0,8324	-0,5542	0,0000	0,0000	img_PilotCamera_Segmentation_1581449336782.jpg,img_FrontCenter_Segmentation_1581449336788.jpg
1581449336840	1,0197	1,2216	3,7778	1,0000	0,0000	0,0000	0,0000	1,0197	-1,0970	2,7778	0,8355	-0,5495	0,0000	0,0000	img_PilotCamera_Segmentation_1581449336834.jpg,img_FrontCenter_Segmentation_1581449336840.jpg
1581449336892	1,0197	1,1530	3,7778	1,0000	0,0000	0,0000	0,0000	1,0197	-1,0970	2,7778	0,8385	-0,5449	0,0000	0,0000	img_PilotCamera_Segmentation_1581449336887.jpg,img_FrontCenter_Segmentation_1581449336892.jpg
1581449336947	1,0197	1,0830	3,7778	1,0000	0,0000	0,0000	0,0000	1,0197	-1,0970	2,7778	0,8417	-0,5399	0,0000	0,0000	img_PilotCamera_Segmentation_1581449336940.jpg,img_FrontCenter_Segmentation_1581449336947.jpg
1581449336999	1,0197	1,0127	3,7778	1,0000	0,0000	0,0000	-0,0001	1,0197	-1,0970	2,7778	0,8451	-0,5346	0,0000	0,0000	img_PilotCamera_Segmentation_1581449336992.jpg,img_FrontCenter_Segmentation_1581449336999.jpg
1581449337049	1,0197	0,9390	3,7778	0,9999	0,0000	0,0000	-0,0156	1,0197	-1,0970	2,7778	0,8488	-0,5287	0,0000	0,0000	img_PilotCamera_Segmentation_1581449337043.jpg,img_FrontCenter_Segmentation_1581449337049.jpg
1581449337102	1,0198	0,8531	3,7778	0,9998	0,0001	0,0000	-0,0196	1,0198	-1,0970	2,7778	0,8533	-0,5214	0,0000	0,0000	img_PilotCamera_Segmentation_1581449337097.jpg,img_FrontCenter_Segmentation_1581449337102.jpg
1581449337156	1,0200	0,7679	3,7778	0,9999	0,0001	0,0000	-0,0153	1,0200	-1,0970	2,7778	0,8581	-0,5135	0,0000	0,0000	img_PilotCamera_Segmentation_1581449337150.jpg,img_FrontCenter_Segmentation_1581449337156.jpg
1581449337207	1,0204	0,6562	3,7778	0,9999	0,0001	0,0000	-0,0127	1,0204	-1,0970	2,7778	0,8647	-0,5023	0,0000	0,0000	img_PilotCamera_Segmentation_1581449337202.jpg,img_FrontCenter_Segmentation_1581449337207.jpg
1581449337260	1,0207	0,5607	3,7778	0,9999	0,0001	0,0000	-0,0106	1,0207	-1,0970	2,7778	0,8708	-0,4917	0,0000	0,0000	img_PilotCamera_Segmentation_1581449337255.jpg,img_FrontCenter_Segmentation_1581449337260.jpg
1581449337310	1,0211	0,4549	3,7778	1,0000	0,0001	0,0000	-0,0089	1,0211	-1,0970	2,7778	0,8780	-0,4787	0,0000	0,0000	img_PilotCamera_Segmentation_1581449337305.jpg,img_FrontCenter_Segmentation_1581449337310.jpg
1581449337364	1,0214	0,3567	3,7778	1,0000	0,0001	0,0000	-0,0076	1,0214	-1,0970	2,7778	0,8851	-0,4654	0,0000	0,0000	img_PilotCamera_Segmentation_1581449337358.jpg,img_FrontCenter_Segmentation_1581449337364.jpg
1581449337419	1,0219	0,2484	3,7778	1,0000	0,0000	0,0000	-0,0064	1,0219	-1,0970	2,7778	0,8935	-0,4491	0,0000	0,0000	img_PilotCamera_Segmentation_1581449337413.jpg,img_FrontCenter_Segmentation_1581449337419.jpg
1581449337471	1,0223	0,1428	3,7778	1,0000	0,0000	0,0000	-0,0054	1,0223	-1,0970	2,7778	0,9022	-0,4314	0,0000	0,0000	img_PilotCamera_Segmentation_1581449337466.jpg,img_FrontCenter_Segmentation_1581449337471.jpg
1581449337524	1,0228	0,0693	3,7779	1,0000	0,0044	0,0002	-0,0022	1,0227	-1,0970	2,7779	0,9085	-0,4178	0,0001	0,0000	img_PilotCamera_Segmentation_1581449337519.jpg,img_FrontCenter_Segmentation_1581449337524.jpg
1581449337576	1,0228	0,0693	3,7779	1,0000	0,0043	0,0002	-0,0022	1,0227	-1,0970	2,7779	0,9085	-0,4178	0,0001	0,0000	img_PilotCamera_Segmentation_1581449337572.jpg,img_FrontCenter_Segmentation_1581449337576.jpg
1581449337628	1,0228	0,0692	3,7779	1,0000	0,0041	0,0002	-0,0021	1,0227	-1,0970	2,7779	0,9086	-0,4178	0,0001	0,0000	img_PilotCamera_Segmentation_1581449337623.jpg,img_FrontCenter_Segmentation_1581449337628.jpg
1581449337680	1,0228	0,0692	3,7779	1,0000	0,0040	0,0002	-0,0021	1,0227	-1,0970	2,7779	0,9086	-0,4178	0,0001	0,0000	img_PilotCamera_Segmentation_1581449337675.jpg,img_FrontCenter_Segmentation_1581449337680.jpg
1581449337734	1,0228	0,0692	3,7779	1,0000	0,0039	0,0002	-0,0020	1,0227	-1,0970	2,7779	0,9086	-0,4178	0,0001	0,0000	img_PilotCamera_Segmentation_1581449337728.jpg,img_FrontCenter_Segmentation_1581449337734.jpg
1581449337785	1,0228	0,0692	3,7779	1,0000	0,0038	0,0002	-0,0020	1,0227	-1,0970	2,7779	0,9086	-0,4178	0,0001	0,0000	img_PilotCamera_Segmentation_1581449337779.jpg,img_FrontCenter_Segmentation_1581449337785.jpg
1581449337837	1,0228	0,0691	3,7779	1,0000	0,0038	0,0002	-0,0019	1,0227	-1,0970	2,7779	0,9086	-0,4178	0,0000	0,0000	img_PilotCamera_Segmentation_1581449337832.jpg,img_FrontCenter_Segmentation_1581449337837.jpg
1581449337889	1,0228	0,0691	3,7779	1,0000	0,0037	0,0002	-0,0019	1,0227	-1,0970	2,7779	0,9086	-0,4178	0,0000	0,0000	img_PilotCamera_Segmentation_1581449337885.jpg,img_FrontCenter_Segmentation_1581449337889.jpg
1581449337942	1,0228	0,0697	3,7779	1,0000	0,0035	0,0002	-0,0018	1,0227	-1,0970	2,7779	0,9085	-0,4179	0,0000	0,0000	img_PilotCamera_Segmentation_1581449337938.jpg,img_FrontCenter_Segmentation_1581449337942.jpg
1581449337993	1,0228	0,0740	3,7779	1,0000	0,0035	0,0002	-0,0017	1,0227	-1,0970	2,7779	0,9081	-0,4187	0,0000	0,0000	img_PilotCamera_Segmentation_1581449337990.jpg,img_FrontCenter_Segmentation_1581449337993.jpg
1581449338044	1,0228	0,0827	3,7779	1,0000	0,0034	0,0002	-0,0017	1,0227	-1,0970	2,7779	0,9074	-0,4203	0,0000	0,0000	img_PilotCamera_Segmentation_1581449338040.jpg,img_FrontCenter_Segmentation_1581449338044.jpg
1581449338099	1,0228	0,0957	3,7779	1,0000	0,0033	0,0002	-0,0017	1,0227	-1,0970	2,7779	0,9062	-0,4228	0,0000	0,0000	img_PilotCamera_Segmentation_1581449338093.jpg,img_FrontCenter_Segmentation_1581449338099.jpg
1581449338153	1,0228	0,1108	3,7779	1,0000	0,0032	0,0002	-0,0016	1,0227	-1,0970	2,7779	0,9049	-0,4256	0,0000	0,0000	img_PilotCamera_Segmentation_1581449338147.jpg,img_FrontCenter_Segmentation_1581449338153.jpg
1581449338206	1,0228	0,1320	3,7779	1,0000	0,0031	0,0002	-0,0016	1,0227	-1,0970	2,7779	0,9031	-0,4294	0,0000	0,0000	img_PilotCamera_Segmentation_1581449338201.jpg,img_FrontCenter_Segmentation_1581449338206.jpg
1581449338257	1,0228	0,1574	3,7779	1,0000	0,0030	0,0002	-0,0015	1,0227	-1,0970	2,7779	0,9009	-0,4340	0,0000	0,0000	img_PilotCamera_Segmentation_1581449338252.jpg,img_FrontCenter_Segmentation_1581449338257.jpg
1581449338311	1,0228	0,1967	3,7779	1,0000	0,0029	0,0002	-0,0015	1,0227	-1,0970	2,7779	0,8977	-0,4407	0,0000	0,0000	img_PilotCamera_Segmentation_1581449338306.jpg,img_FrontCenter_Segmentation_1581449338311.jpg
1581449338364	1,0227	0,2341	3,7779	1,0000	0,0029	0,0001	-0,0015	1,0227	-1,0970	2,7779	0,8946	-0,4469	0,0000	0,0000	img_PilotCamera_Segmentation_1581449338358.jpg,img_FrontCenter_Segmentation_1581449338364.jpg
1581449338416	1,0227	0,2689	3,7779	1,0000	0,0028	0,0001	-0,0014	1,0227	-1,0970	2,7779	0,8918	-0,4524	0,0000	0,0000	img_PilotCamera_Segmentation_1581449338409.jpg,img_FrontCenter_Segmentation_1581449338416.jpg
1581449338468	1,0227	0,3148	3,7779	1,0000	0,0027	0,0001	-0,0014	1,0227	-1,0970	2,7779	0,8883	-0,4593	0,0000	0,0000	img_PilotCamera_Segmentation_1581449338463.jpg,img_FrontCenter_Segmentation_1581449338468.jpg
1581449338521	1,0227	0,3595	3,7779	1,0000	0,0027	0,0001	-0,0013	1,0227	-1,0970	2,7779	0,8849	-0,4658	0,0000	0,0000	img_PilotCamera_Segmentation_1581449338517.jpg,img_FrontCenter_Segmentation_1581449338521.jpg
1581449338573	1,0227	0,4109	3,7779	1,0000	0,0026	0,0001	-0,0013	1,0227	-1,0970	2,7779	0,8811	-0,4729	0,0000	0,0000	img_PilotCamera_Segmentation_1581449338568.jpg,img_FrontCenter_Segmentation_1581449338573.jpg
1581449338627	1,0227	0,4833	3,7779	1,0000	0,0025	0,0001	-0,0013	1,0227	-1,0970	2,7779	0,8760	-0,4823	0,0000	0,0000	img_PilotCamera_Segmentation_1581449338622.jpg,img_FrontCenter_Segmentation_1581449338627.jpg
1581449338681	1,0227	0,5401	3,7779	1,0000	0,0024	0,0001	-0,0012	1,0227	-1,0970	2,7779	0,8721	-0,4892	0,0000	0,0000	img_PilotCamera_Segmentation_1581449338675.jpg,img_FrontCenter_Segmentation_1581449338681.jpg
1581449338735	1,0227	0,6081	3,7779	1,0000	0,0024	0,0001	-0,0012	1,0227	-1,0970	2,7779	0,8677	-0,4970	0,0000	0,0000	img_PilotCamera_Segmentation_1581449338731.jpg,img_FrontCenter_Segmentation_1581449338735.jpg
1581449338784	1,0227	0,6762	3,7779	1,0000	0,0023	0,0001	-0,0012	1,0227	-1,0970	2,7779	0,8635	-0,5044	0,0000	0,0000	img_PilotCamera_Segmentation_1581449338779.jpg,img_FrontCenter_Segmentation_1581449338784.jpg
1581449338836	1,0227	0,7437	3,7779	1,0000	0,0023	0,0001	-0,0011	1,0227	-1,0970	2,7779	0,8595	-0,5112	0,0000	0,0000	img_PilotCamera_Segmentation_1581449338830.jpg,img_FrontCenter_Segmentation_1581449338836.jpg
1581449338889	1,0227	0,8189	3,7779	1,0000	0,0022	0,0001	-0,0011	1,0226	-1,0970	2,7779	0,8552	-0,5183	0,0000	0,0000	img_PilotCamera_Segmentation_1581449338884.jpg,img_FrontCenter_Segmentation_1581449338889.jpg
1581449338942	1,0227	0,8907	3,7779	1,0000	0,0022	0,0001	-0,0011	1,0226	-1,0970	2,7779	0,8513	-0,5247	0,0000	0,0000	img_PilotCamera_Segmentation_1581449338938.jpg,img_FrontCenter_Segmentation_1581449338942.jpg
1581449338995	1,0227	0,9810	3,7779	1,0000	0,0027	0,0001	-0,0011	1,0226	-1,0970	2,7779	0,8467	-0,5322	0,0000	0,0000	img_PilotCamera_Segmentation_1581449338989.jpg,img_FrontCenter_Segmentation_1581449338995.jpg
1581449339045	1,0227	1,0458	3,7779	0,9996	0,0278	0,0002	-0,0010	1,0226	-1,0970	2,7779	0,8435	-0,5372	0,0001	0,0000	img_PilotCamera_Segmentation_1581449339040.jpg,img_FrontCenter_Segmentation_1581449339045.jpg
1581449339100	1,0227	1,1078	3,7781	0,9981	0,0613	0,0021	-0,0010	1,0215	-1,0970	2,7781	0,8406	-0,5417	0,0005	0,0003	img_PilotCamera_Segmentation_1581449339093.jpg,img_FrontCenter_Segmentation_1581449339100.jpg
1581449339149	1,0227	1,1647	3,7788	0,9958	0,0913	0,0062	-0,0009	1,0190	-1,0970	2,7788	0,8380	-0,5457	0,0015	0,0010	img_PilotCamera_Segmentation_1581449339144.jpg,img_FrontCenter_Segmentation_1581449339149.jpg
1581449339203	1,0227	1,2227	3,7802	0,9927	0,1199	0,0114	-0,0008	1,0158	-1,0970	2,7802	0,8354	-0,5496	0,0029	0,0019	img_PilotCamera_Segmentation_1581449339198.jpg,img_FrontCenter_Segmentation_1581449339203.jpg
1581449339252	1,0227	1,2782	3,7825	0,9932	0,1155	0,0163	-0,0004	1,0127	-1,0970	2,7825	0,8331	-0,5532	0,0042	0,0028	img_PilotCamera_Segmentation_1581449339247.jpg,img_FrontCenter_Segmentation_1581449339252.jpg
