Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581450106625	-5,8503	4,4392	-1,4562	1,0000	0,0000	0,0000	0,0000	-5,8503	-1,0970	-2,4562	0,7674	-0,6412	0,0000	0,0000	img_PilotCamera_Segmentation_1581450106512.jpg,img_FrontCenter_Segmentation_1581450106625.jpg
1581450106700	-5,8503	4,2667	-1,4562	1,0000	0,0000	0,0000	0,0000	-5,8503	-1,0970	-2,4562	0,7692	-0,6390	0,0000	0,0000	img_PilotCamera_Segmentation_1581450106679.jpg,img_FrontCenter_Segmentation_1581450106700.jpg
1581450106750	-5,8503	4,2203	-1,4562	1,0000	0,0000	0,0000	0,0000	-5,8503	-1,0970	-2,4562	0,7697	-0,6384	0,0000	0,0000	img_PilotCamera_Segmentation_1581450106728.jpg,img_FrontCenter_Segmentation_1581450106750.jpg
1581450106798	-5,8503	4,1717	-1,4562	1,0000	0,0000	0,0000	0,0000	-5,8503	-1,0969	-2,4562	0,7702	-0,6378	0,0000	0,0000	img_PilotCamera_Segmentation_1581450106778.jpg,img_FrontCenter_Segmentation_1581450106798.jpg
1581450106849	-5,8503	4,1115	-1,4562	1,0000	0,0000	0,0000	0,0000	-5,8503	-1,0963	-2,4562	0,7709	-0,6370	0,0000	0,0000	img_PilotCamera_Segmentation_1581450106830.jpg,img_FrontCenter_Segmentation_1581450106849.jpg
1581450106901	-5,8503	4,0531	-1,4562	1,0000	0,0000	0,0000	0,0000	-5,8503	-1,0909	-2,4562	0,7716	-0,6361	0,0000	0,0000	img_PilotCamera_Segmentation_1581450106886.jpg,img_FrontCenter_Segmentation_1581450106901.jpg
1581450106953	-5,8503	3,9696	-1,4562	1,0000	0,0000	0,0000	0,0000	-5,8503	-1,0705	-2,4562	0,7729	-0,6346	0,0000	0,0000	img_PilotCamera_Segmentation_1581450106936.jpg,img_FrontCenter_Segmentation_1581450106953.jpg
1581450107008	-5,8503	3,8920	-1,4562	1,0000	0,0000	0,0000	0,0000	-5,8503	-1,0493	-2,4562	0,7741	-0,6331	0,0000	0,0000	img_PilotCamera_Segmentation_1581450106991.jpg,img_FrontCenter_Segmentation_1581450107008.jpg
1581450107065	-5,8503	3,8184	-1,4562	1,0000	0,0000	0,0000	0,0000	-5,8503	-1,0275	-2,4562	0,7753	-0,6316	0,0000	0,0000	img_PilotCamera_Segmentation_1581450107046.jpg,img_FrontCenter_Segmentation_1581450107065.jpg
1581450107115	-5,8503	3,7355	-1,4562	1,0000	0,0000	0,0000	0,0000	-5,8503	-1,0087	-2,4562	0,7766	-0,6300	0,0000	0,0000	img_PilotCamera_Segmentation_1581450107099.jpg,img_FrontCenter_Segmentation_1581450107115.jpg
1581450107167	-5,8503	3,6532	-1,4562	1,0000	0,0000	0,0000	0,0000	-5,8503	-0,9121	-2,4562	0,7791	-0,6269	0,0000	0,0000	img_PilotCamera_Segmentation_1581450107152.jpg,img_FrontCenter_Segmentation_1581450107167.jpg
1581450107223	-5,8503	3,5277	-1,4562	1,0000	0,0000	0,0000	0,0000	-5,8503	-0,8869	-2,4562	0,7813	-0,6241	0,0000	0,0000	img_PilotCamera_Segmentation_1581450107206.jpg,img_FrontCenter_Segmentation_1581450107223.jpg
1581450107275	-5,8503	3,4299	-1,4562	1,0000	0,0000	0,0000	0,0000	-5,8503	-0,9517	-2,4562	0,7818	-0,6235	0,0000	0,0000	img_PilotCamera_Segmentation_1581450107258.jpg,img_FrontCenter_Segmentation_1581450107275.jpg
1581450107332	-5,8503	3,3314	-1,4562	1,0000	0,0000	0,0000	0,0000	-5,8503	-1,0080	-2,4562	0,7825	-0,6227	0,0000	0,0000	img_PilotCamera_Segmentation_1581450107314.jpg,img_FrontCenter_Segmentation_1581450107332.jpg
1581450107381	-5,8503	3,2433	-1,4562	1,0000	0,0000	0,0000	0,0000	-5,8503	-1,0513	-2,4562	0,7832	-0,6218	0,0000	0,0000	img_PilotCamera_Segmentation_1581450107364.jpg,img_FrontCenter_Segmentation_1581450107381.jpg
1581450107435	-5,8503	3,1551	-1,4562	1,0000	0,0000	0,0000	0,0000	-5,8503	-1,0899	-2,4562	0,7840	-0,6208	0,0000	0,0000	img_PilotCamera_Segmentation_1581450107419.jpg,img_FrontCenter_Segmentation_1581450107435.jpg
1581450107484	-5,8495	3,1312	-1,4560	0,9997	0,0110	0,0012	-0,0235	-5,8501	-1,1422	-2,4560	0,7835	-0,6214	0,0002	0,0002	img_PilotCamera_Segmentation_1581450107468.jpg,img_FrontCenter_Segmentation_1581450107484.jpg
1581450107535	-5,8496	3,1334	-1,4560	0,9997	0,0107	0,0012	-0,0230	-5,8501	-1,2235	-2,4560	0,7822	-0,6230	0,0002	0,0002	img_PilotCamera_Segmentation_1581450107519.jpg,img_FrontCenter_Segmentation_1581450107535.jpg
1581450107593	-5,8496	3,1394	-1,4560	0,9997	0,0105	0,0012	-0,0224	-5,8501	-1,2698	-2,4560	0,7814	-0,6240	0,0002	0,0002	img_PilotCamera_Segmentation_1581450107575.jpg,img_FrontCenter_Segmentation_1581450107593.jpg
1581450107646	-5,8496	3,1508	-1,4560	0,9997	0,0102	0,0011	-0,0218	-5,8501	-1,2973	-2,4560	0,7808	-0,6248	0,0002	0,0002	img_PilotCamera_Segmentation_1581450107630.jpg,img_FrontCenter_Segmentation_1581450107646.jpg
1581450107699	-5,8496	3,1651	-1,4560	0,9997	0,0099	0,0011	-0,0213	-5,8502	-1,1693	-2,4560	0,7826	-0,6226	0,0002	0,0002	img_PilotCamera_Segmentation_1581450107682.jpg,img_FrontCenter_Segmentation_1581450107699.jpg
1581450107750	-5,8496	3,1844	-1,4560	0,9997	0,0097	0,0011	-0,0208	-5,8502	-1,0678	-2,4560	0,7839	-0,6209	0,0002	0,0002	img_PilotCamera_Segmentation_1581450107735.jpg,img_FrontCenter_Segmentation_1581450107750.jpg
1581450107800	-5,8496	3,2080	-1,4560	0,9997	0,0095	0,0011	-0,0202	-5,8502	-0,8793	-2,4560	0,7867	-0,6174	0,0002	0,0002	img_PilotCamera_Segmentation_1581450107786.jpg,img_FrontCenter_Segmentation_1581450107800.jpg
1581450107855	-5,8497	3,2430	-1,4560	0,9998	0,0091	0,0010	-0,0196	-5,8502	-0,5155	-2,4560	0,7928	-0,6095	0,0002	0,0002	img_PilotCamera_Segmentation_1581450107839.jpg,img_FrontCenter_Segmentation_1581450107855.jpg
1581450107912	-5,8497	3,2761	-1,4560	0,9998	0,0089	0,0010	-0,0191	-5,8502	-0,3494	-2,4560	0,7956	-0,6058	0,0002	0,0002	img_PilotCamera_Segmentation_1581450107895.jpg,img_FrontCenter_Segmentation_1581450107912.jpg
1581450107964	-5,8497	3,3135	-1,4560	0,9998	0,0087	0,0010	-0,0186	-5,8502	-0,2411	-2,4560	0,7971	-0,6038	0,0002	0,0001	img_PilotCamera_Segmentation_1581450107947.jpg,img_FrontCenter_Segmentation_1581450107964.jpg
1581450108015	-5,8497	3,3549	-1,4560	0,9998	0,0085	0,0010	-0,0182	-5,8502	-0,2435	-2,4560	0,7962	-0,6051	0,0002	0,0001	img_PilotCamera_Segmentation_1581450107998.jpg,img_FrontCenter_Segmentation_1581450108015.jpg
1581450108067	-5,8497	3,4005	-1,4560	0,9998	0,0083	0,0009	-0,0177	-5,8502	-0,2547	-2,4560	0,7949	-0,6067	0,0002	0,0001	img_PilotCamera_Segmentation_1581450108053.jpg,img_FrontCenter_Segmentation_1581450108067.jpg
1581450108123	-5,8497	3,4613	-1,4560	0,9998	0,0080	0,0018	-0,0171	-5,8507	-0,3078	-2,4560	0,7926	-0,6097	0,0004	0,0003	img_PilotCamera_Segmentation_1581450108106.jpg,img_FrontCenter_Segmentation_1581450108123.jpg
1581450108173	-5,8498	3,5107	-1,4560	0,9998	0,0079	0,0047	-0,0167	-5,8525	-0,3157	-2,4560	0,7915	-0,6112	0,0011	0,0008	img_PilotCamera_Segmentation_1581450108157.jpg,img_FrontCenter_Segmentation_1581450108173.jpg
1581450108231	-5,8498	3,5596	-1,4560	0,9998	0,0077	0,0098	-0,0162	-5,8555	-0,3213	-2,4560	0,7904	-0,6126	0,0023	0,0018	img_PilotCamera_Segmentation_1581450108213.jpg,img_FrontCenter_Segmentation_1581450108231.jpg
1581450108281	-5,8498	3,6054	-1,4560	0,9997	0,0077	0,0163	-0,0158	-5,8595	-0,3544	-2,4560	0,7889	-0,6145	0,0038	0,0030	img_PilotCamera_Segmentation_1581450108264.jpg,img_FrontCenter_Segmentation_1581450108281.jpg
1581450108332	-5,8498	3,6540	-1,4560	0,9995	0,0076	0,0251	-0,0153	-5,8648	-0,3503	-2,4559	0,7881	-0,6155	0,0059	0,0046	img_PilotCamera_Segmentation_1581450108313.jpg,img_FrontCenter_Segmentation_1581450108332.jpg
1581450108386	-5,8498	3,7023	-1,4560	0,9992	0,0076	0,0360	-0,0148	-5,8714	-0,3464	-2,4558	0,7873	-0,6165	0,0085	0,0066	img_PilotCamera_Segmentation_1581450108369.jpg,img_FrontCenter_Segmentation_1581450108386.jpg
1581450108442	-5,8498	3,7631	-1,4560	0,9984	0,0076	0,0538	-0,0142	-5,8820	-0,3426	-2,4555	0,7862	-0,6177	0,0127	0,0100	img_PilotCamera_Segmentation_1581450108425.jpg,img_FrontCenter_Segmentation_1581450108442.jpg
1581450108493	-5,8498	3,8081	-1,4561	0,9974	0,0076	0,0697	-0,0137	-5,8916	-0,3426	-2,4552	0,7854	-0,6186	0,0164	0,0129	img_PilotCamera_Segmentation_1581450108476.jpg,img_FrontCenter_Segmentation_1581450108493.jpg
1581450108544	-5,8498	3,8485	-1,4561	0,9963	0,0076	0,0849	-0,0133	-5,9008	-0,4159	-2,4548	0,7834	-0,6210	0,0200	0,0158	img_PilotCamera_Segmentation_1581450108527.jpg,img_FrontCenter_Segmentation_1581450108544.jpg
1581450108595	-5,8499	3,8834	-1,4561	0,9950	0,0076	0,0990	-0,0128	-5,9092	-0,4659	-2,4543	0,7820	-0,6226	0,0232	0,0185	img_PilotCamera_Segmentation_1581450108578.jpg,img_FrontCenter_Segmentation_1581450108595.jpg
1581450108652	-5,8499	3,9188	-1,4561	0,9931	0,0076	0,1161	-0,0124	-5,9196	-0,4824	-2,4536	0,7811	-0,6235	0,0272	0,0218	img_PilotCamera_Segmentation_1581450108635.jpg,img_FrontCenter_Segmentation_1581450108652.jpg
1581450108707	-5,8499	3,9620	-1,4561	0,9899	0,0077	0,1413	-0,0118	-5,9348	-0,4928	-2,4525	0,7800	-0,6243	0,0332	0,0266	img_PilotCamera_Segmentation_1581450108690.jpg,img_FrontCenter_Segmentation_1581450108707.jpg
