Timestamp_t1	Position(x)_t1	Position(y)_t1	Position(z)_t1	Orientation(x)_t1	Orientation(y)_t1	Orientation(z)_t1	Orientation(w)_t1	Timestamp_t2	Position(x)_t2	Position(y)_t2	Position(z)_t2	Orientation(x)_t2	Orientation(y)_t2	Orientation(z)_t2	Orientation(w)_t2	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(x)	PilotRot(y)	PilotRot(z)	PilotRot(w)	Frame_id1	Frame_id2	ImageName
1580472824479	3.3559	6.052	0.6962	0.707	0.0	0.0	0.707	1580472824537	3.3559	6.052	0.6204	0.707	0.0	0.0	0.707	3.407103109290481	6.10318310929048	1.5718231092904806	0.12277761294068452	0.31824821892985866	0.8770203774201509	0.3383474345970071	0	1	img_PilotCamera_Segmentation_1580472824534.jpg,img_FrontCenter_Segmentation_1580472824537.jpg
1580472824595	3.3559	6.052	0.5612	0.707	0.0	0.0	0.707	1580472824651	3.3559	6.052	0.5079	0.707	0.0	0.0	0.707	3.39415137659562	6.09023137659562	1.5588713765956197	0.12445762712019326	0.05572538912609045	0.4048358034678514	0.9041642286050118	2	3	img_PilotCamera_Segmentation_1580472824648.jpg,img_FrontCenter_Segmentation_1580472824651.jpg
1580472824704	3.3559	6.052	0.4359	0.707	0.0	0.0	0.707	1580472824756	3.3559	6.052	0.3869	0.707	0.0	0.0	0.707	3.3861060626742283	6.082186062674228	1.5508260626742283	0.06819412710746603	-0.027152239167332396	-0.3689194453113144	0.9265585571389663	4	5	img_PilotCamera_Segmentation_1580472824753.jpg,img_FrontCenter_Segmentation_1580472824756.jpg
1580472824813	3.3559	6.052	0.3422	0.707	0.0	0.0	0.707	1580472824866	3.3559	6.052	0.3019	0.707	0.0	0.0	0.707	3.369551995043496	6.065631995043496	1.534271995043496	0.04552225935347982	0.09634424036786372	0.899005324979201	0.42477633751226646	6	7	img_PilotCamera_Segmentation_1580472824864.jpg,img_FrontCenter_Segmentation_1580472824866.jpg
1580472824921	3.3559	6.052	0.2585	0.707	0.0	0.0	0.707	1580472824973	3.3559	6.052	0.2284	0.707	0.0	0.0	0.707	3.4398707203203056	6.122870720320305	1.6059007203203053	0.08707673440201204	0.0461724978492092	0.4661855773051757	0.8791795893222762	8	9	img_PilotCamera_Segmentation_1580472824970.jpg,img_FrontCenter_Segmentation_1580472824973.jpg
1580472825026	3.3559	6.052	0.2042	0.707	0.0	0.0	0.707	1580472825081	3.3559	6.052	0.1816	0.707	0.0	0.0	0.707	3.3271621341001194	6.01016213410012	1.4931921341001193	0.04147031909255945	0.02126295247537716	0.4557550288307636	0.8888843868478403	10	11	img_PilotCamera_Segmentation_1580472825078.jpg,img_FrontCenter_Segmentation_1580472825081.jpg
1580472825142	3.3559	6.052	0.1615	0.707	0.0	0.0	0.707	1580472825196	3.3559	6.052	0.1497	0.707	0.0	0.0	0.707	3.41793810507983	6.10093810507983	1.5839681050798302	0.06778203183353851	0.0690165045978681	0.7101126724405528	0.6974111489594541	12	13	img_PilotCamera_Segmentation_1580472825192.jpg,img_FrontCenter_Segmentation_1580472825196.jpg
1580472825248	3.3559	6.052	0.143	0.707	0.0	0.0	0.707	1580472825304	3.3559	6.052	0.1407	0.707	0.0	0.0	0.707	3.3664821511711103	6.0494821511711105	1.5325121511711104	0.06097800844517969	0.04531652975775189	0.5947576805016961	0.8003070636330888	14	15	img_PilotCamera_Segmentation_1580472825301.jpg,img_FrontCenter_Segmentation_1580472825304.jpg
1580472825355	3.3559	6.052	0.1434	0.707	0.0	0.0	0.707	1580472825410	3.3559	6.052	0.1517	0.707	0.0	0.0	0.707	3.3107598110100844	5.993759811010084	1.4767898110100843	-0.03938485075647979	0.04420684447204021	0.7453452364609024	-0.664044476611135	16	17	img_PilotCamera_Segmentation_1580472825407.jpg,img_FrontCenter_Segmentation_1580472825410.jpg
1580472825463	3.3559	6.052	0.1621	0.707	0.0	0.0	0.707	1580472825518	3.3559	6.052	0.1779	0.707	0.0	0.0	0.707	3.3856831833520147	6.0686831833520145	1.5517131833520144	0.04607746800003823	0.08410578677812133	0.8729682177402227	0.47825680798980574	18	19	img_PilotCamera_Segmentation_1580472825515.jpg,img_FrontCenter_Segmentation_1580472825518.jpg
1580472825571	3.3559	6.052	0.2049	0.707	0.0	0.0	0.707	1580472825627	3.3559	6.052	0.2322	0.707	0.0	0.0	0.707	3.327234560366743	6.010234560366743	1.493264560366743	0.18923597787427213	0.01045330706898002	0.05415580890705295	0.9803813652915443	20	21	img_PilotCamera_Segmentation_1580472825623.jpg,img_FrontCenter_Segmentation_1580472825627.jpg
1580472825684	3.3559	6.052	0.2625	0.707	0.0	0.0	0.707	1580472825740	3.3559	6.052	0.3057	0.707	0.0	0.0	0.707	3.3405607308271734	6.023560730827174	1.5065907308271735	0.13347250607974467	0.029268125713373443	0.21218375040255158	0.9676293314090506	22	23	img_PilotCamera_Segmentation_1580472825737.jpg,img_FrontCenter_Segmentation_1580472825740.jpg
1580472825791	3.3559	6.052	0.3453	0.707	0.0	0.0	0.707	1580472825843	3.3559	6.052	0.3918	0.707	0.0	0.0	0.707	3.365464769096237	6.061544769096237	1.5301847690962371	0.07545354466833636	0.11210761280680145	0.8219900447491648	0.5532368498943375	24	25	img_PilotCamera_Segmentation_1580472825840.jpg,img_FrontCenter_Segmentation_1580472825843.jpg
1580472825898	3.3559	6.052	0.4369	0.707	0.0	0.0	0.707	1580472825949	3.3559	6.052	0.4888	0.707	0.0	0.0	0.707	3.327677166984315	6.023757166984314	1.4923971669843148	0.0861047965795319	0.24381956636027172	0.9108602539212981	0.3216699875529495	26	27	img_PilotCamera_Segmentation_1580472825946.jpg,img_FrontCenter_Segmentation_1580472825949.jpg
1580472826003	3.3559	6.052	0.5413	0.707	0.0	0.0	0.707	1580472826056	3.3559	6.052	0.6154	0.707	0.0	0.0	0.707	3.33673563847372	6.0328156384737195	1.5014556384737199	0.16196645572980464	0.1141275755004401	0.5645839581198373	0.8012407365844889	28	29	img_PilotCamera_Segmentation_1580472826053.jpg,img_FrontCenter_Segmentation_1580472826056.jpg
1580472827278	3.3559	6.052	2.4277	0.707	0.0	0.0	0.707	1580472827334	3.3559	6.052	2.5098	0.707	0.0	0.0	0.707	3.2795070016751424	5.9950170016751425	1.5222670016751423	0.8279828340673637	0.5310041845776319	0.0972901665437544	0.15170235972030585	30	31	img_PilotCamera_Segmentation_1580472827330.jpg,img_FrontCenter_Segmentation_1580472827334.jpg
